steps,pid,dice,seed,git_commit
48,230,0.18122291564941406,42,9d844b58
48,231,0.3265029788017273,42,9d844b58
48,232,0.2314060926437378,42,9d844b58
48,233,0.1846233606338501,42,9d844b58
48,234,0.2190958857536316,42,9d844b58
48,235,0.2987598180770874,42,9d844b58
48,236,0.3884012699127197,42,9d844b58
48,237,0.31488919258117676,42,9d844b58
48,238,0.21086472272872925,42,9d844b58
48,239,0.24394476413726807,42,9d844b58
48,240,0.20382505655288696,42,9d844b58
48,241,0.15108227729797363,42,9d844b58
48,242,0.21433496475219727,42,9d844b58
48,243,0.16596174240112305,42,9d844b58
48,244,0.24682772159576416,42,9d844b58
48,245,0.20178604125976562,42,9d844b58
48,246,0.220666766166687,42,9d844b58
48,247,0.12253463268280029,42,9d844b58
48,248,0.19914555549621582,42,9d844b58
48,249,0.24498051404953003,42,9d844b58
48,250,0.27811574935913086,42,9d844b58
48,251,0.39944517612457275,42,9d844b58
48,252,0.21020638942718506,42,9d844b58
48,253,0.15191209316253662,42,9d844b58
48,254,0.23298513889312744,42,9d844b58
48,255,0.31678712368011475,42,9d844b58
48,256,0.24309700727462769,42,9d844b58
48,257,0.2127273678779602,42,9d844b58
48,258,0.2734464406967163,42,9d844b58
48,259,0.20061242580413818,42,9d844b58
64,182,0.15344256162643433,42,9d844b58
64,183,0.11761081218719482,42,9d844b58
64,184,0.0935167670249939,42,9d844b58
64,185,0.07933229207992554,42,9d844b58
64,186,0.11547505855560303,42,9d844b58
64,187,0.11313271522521973,42,9d844b58
64,188,0.11716717481613159,42,9d844b58
64,189,0.10549330711364746,42,9d844b58
64,190,0.1427009105682373,42,9d844b58
64,191,0.1413368582725525,42,9d844b58
64,192,0.1338551640510559,42,9d844b58
64,193,0.13152384757995605,42,9d844b58
64,194,0.11493825912475586,42,9d844b58
64,195,0.08489632606506348,42,9d844b58
64,196,0.14760595560073853,42,9d844b58
64,197,0.11219149827957153,42,9d844b58
64,198,0.11522167921066284,42,9d844b58
64,199,0.14420753717422485,42,9d844b58
64,200,0.12771731615066528,42,9d844b58
64,201,0.10977762937545776,42,9d844b58
64,202,0.1171637773513794,42,9d844b58
64,203,0.12822610139846802,42,9d844b58
64,204,0.13261616230010986,42,9d844b58
64,205,0.18103110790252686,42,9d844b58
64,206,0.19236093759536743,42,9d844b58
64,207,0.12863582372665405,42,9d844b58
64,208,0.13460946083068848,42,9d844b58
64,209,0.10088413953781128,42,9d844b58
64,210,0.1387602686882019,42,9d844b58
64,211,0.11002075672149658,42,9d844b58
64,212,0.11291813850402832,42,9d844b58
64,213,0.13828682899475098,42,9d844b58
64,214,0.08334535360336304,42,9d844b58
64,215,0.10150814056396484,42,9d844b58
64,216,0.09768122434616089,42,9d844b58
64,217,0.08580935001373291,42,9d844b58
64,218,0.10513615608215332,42,9d844b58
64,219,0.10727018117904663,42,9d844b58
