perturb_type,level,pid,dice,seed,commit
scale,1.20,219,0.791643,42,9d844b58
scale,1.20,220,0.804937,42,9d844b58
scale,1.20,221,0.844275,42,9d844b58
scale,1.20,222,0.855985,42,9d844b58
scale,1.20,223,0.833052,42,9d844b58
scale,1.20,224,0.840874,42,9d844b58
scale,1.20,225,0.842013,42,9d844b58
scale,1.20,226,0.6864,42,9d844b58
scale,1.20,227,0.837478,42,9d844b58
scale,1.20,228,0.843351,42,9d844b58
scale,1.20,229,0.778108,42,9d844b58
scale,1.20,230,0.837416,42,9d844b58
scale,1.20,231,0.810421,42,9d844b58
scale,1.20,232,0.837588,42,9d844b58
scale,1.20,233,0.825016,42,9d844b58
scale,1.20,234,0.823005,42,9d844b58
scale,1.20,235,0.83917,42,9d844b58
scale,1.20,236,0.856351,42,9d844b58
scale,1.20,237,0.854748,42,9d844b58
scale,1.20,238,0.747144,42,9d844b58
scale,1.20,239,0.864375,42,9d844b58
scale,1.20,240,0.834163,42,9d844b58
scale,1.20,241,0.796575,42,9d844b58
scale,1.20,242,0.781338,42,9d844b58
scale,1.20,243,0.816047,42,9d844b58
scale,1.20,244,0.825596,42,9d844b58
scale,1.20,245,0.850646,42,9d844b58
scale,1.20,246,0.869268,42,9d844b58
scale,1.20,247,0.689962,42,9d844b58
scale,1.20,248,0.811283,42,9d844b58
scale,1.20,249,0.868258,42,9d844b58
scale,1.20,250,0.859003,42,9d844b58
scale,1.20,251,0.869794,42,9d844b58
scale,1.20,252,0.789064,42,9d844b58
scale,1.20,253,0.884935,42,9d844b58
scale,1.20,254,0.864,42,9d844b58
scale,1.20,255,0.774987,42,9d844b58
scale,1.20,256,0.737312,42,9d844b58
scale,1.20,257,0.7542,42,9d844b58
scale,1.20,258,0.84532,42,9d844b58
scale,1.20,259,0.814417,42,9d844b58
translate,0px,182,0.85471,42,9d844b58
translate,0px,183,0.854502,42,9d844b58
translate,0px,184,0.870045,42,9d844b58
translate,0px,185,0.875054,42,9d844b58
translate,0px,186,0.869994,42,9d844b58
translate,0px,187,0.865437,42,9d844b58
translate,0px,188,0.854577,42,9d844b58
translate,0px,189,0.775417,42,9d844b58
translate,0px,190,0.846898,42,9d844b58
translate,0px,191,0.865759,42,9d844b58
translate,0px,192,0.885196,42,9d844b58
translate,0px,193,0.89804,42,9d844b58
translate,0px,194,0.872006,42,9d844b58
translate,0px,195,0.873559,42,9d844b58
translate,0px,196,0.816903,42,9d844b58
translate,0px,197,0.911585,42,9d844b58
translate,0px,198,0.830622,42,9d844b58
translate,0px,199,0.8006,42,9d844b58
translate,0px,200,0.87789,42,9d844b58
translate,0px,201,0.846232,42,9d844b58
translate,0px,202,0.852042,42,9d844b58
translate,0px,203,0.845899,42,9d844b58
translate,0px,204,0.858874,42,9d844b58
translate,0px,205,0.876593,42,9d844b58
translate,0px,206,0.872643,42,9d844b58
translate,0px,207,0.867416,42,9d844b58
translate,0px,208,0.872607,42,9d844b58
translate,0px,209,0.876364,42,9d844b58
translate,0px,210,0.863892,42,9d844b58
translate,0px,211,0.902707,42,9d844b58
translate,0px,212,0.90358,42,9d844b58
translate,0px,213,0.783927,42,9d844b58
translate,0px,214,0.686224,42,9d844b58
translate,0px,215,0.868382,42,9d844b58
translate,0px,216,0.882479,42,9d844b58
translate,0px,217,0.835742,42,9d844b58
translate,0px,218,0.834342,42,9d844b58
translate,0px,219,0.828874,42,9d844b58
translate,0px,220,0.814073,42,9d844b58
translate,0px,221,0.878978,42,9d844b58
translate,0px,222,0.870598,42,9d844b58
translate,0px,223,0.87163,42,9d844b58
translate,0px,224,0.860405,42,9d844b58
translate,0px,225,0.861038,42,9d844b58
translate,0px,226,0.865967,42,9d844b58
translate,0px,227,0.851873,42,9d844b58
translate,0px,228,0.864262,42,9d844b58
translate,0px,229,0.888667,42,9d844b58
translate,0px,230,0.882202,42,9d844b58
translate,0px,231,0.854243,42,9d844b58
translate,0px,232,0.882715,42,9d844b58
translate,0px,233,0.861165,42,9d844b58
translate,0px,234,0.877593,42,9d844b58
translate,0px,235,0.8667,42,9d844b58
translate,0px,236,0.855183,42,9d844b58
translate,0px,237,0.869147,42,9d844b58
translate,0px,238,0.849024,42,9d844b58
translate,0px,239,0.883259,42,9d844b58
translate,0px,240,0.908412,42,9d844b58
translate,0px,241,0.884427,42,9d844b58
translate,0px,242,0.859485,42,9d844b58
translate,0px,243,0.876879,42,9d844b58
translate,0px,244,0.896332,42,9d844b58
translate,0px,245,0.905988,42,9d844b58
translate,0px,246,0.897572,42,9d844b58
translate,0px,247,0.860242,42,9d844b58
translate,0px,248,0.86459,42,9d844b58
translate,0px,249,0.876588,42,9d844b58
translate,0px,250,0.898909,42,9d844b58
translate,0px,251,0.902053,42,9d844b58
translate,0px,252,0.874757,42,9d844b58
translate,0px,253,0.892861,42,9d844b58
translate,0px,254,0.901699,42,9d844b58
translate,0px,255,0.865362,42,9d844b58
translate,0px,256,0.885732,42,9d844b58
translate,0px,257,0.865942,42,9d844b58
translate,0px,258,0.880201,42,9d844b58
translate,0px,259,0.890962,42,9d844b58
translate,2px,182,0.853102,42,9d844b58
translate,2px,183,0.860377,42,9d844b58
translate,2px,184,0.848603,42,9d844b58
translate,2px,185,0.871851,42,9d844b58
translate,2px,186,0.867741,42,9d844b58
translate,2px,187,0.860773,42,9d844b58
translate,2px,188,0.85097,42,9d844b58
translate,2px,189,0.72878,42,9d844b58
translate,2px,190,0.85416,42,9d844b58
translate,2px,191,0.85908,42,9d844b58
translate,2px,192,0.877373,42,9d844b58
translate,2px,193,0.879248,42,9d844b58
translate,2px,194,0.859996,42,9d844b58
translate,2px,195,0.871852,42,9d844b58
translate,2px,196,0.805749,42,9d844b58
translate,2px,197,0.91405,42,9d844b58
translate,2px,198,0.809294,42,9d844b58
translate,2px,199,0.77258,42,9d844b58
translate,2px,200,0.876747,42,9d844b58
translate,2px,201,0.846473,42,9d844b58
translate,2px,202,0.84858,42,9d844b58
translate,2px,203,0.846867,42,9d844b58
translate,2px,204,0.864302,42,9d844b58
translate,2px,205,0.876012,42,9d844b58
translate,2px,206,0.882499,42,9d844b58
translate,2px,207,0.851206,42,9d844b58
translate,2px,208,0.869674,42,9d844b58
translate,2px,209,0.868668,42,9d844b58
translate,2px,210,0.847386,42,9d844b58
translate,2px,211,0.903763,42,9d844b58
translate,2px,212,0.889337,42,9d844b58
translate,2px,213,0.774354,42,9d844b58
translate,2px,214,0.682186,42,9d844b58
translate,2px,215,0.861654,42,9d844b58
translate,2px,216,0.879166,42,9d844b58
translate,2px,217,0.823141,42,9d844b58
translate,2px,218,0.82499,42,9d844b58
translate,2px,219,0.824805,42,9d844b58
translate,2px,220,0.809472,42,9d844b58
translate,2px,221,0.875677,42,9d844b58
translate,2px,222,0.875159,42,9d844b58
translate,2px,223,0.871939,42,9d844b58
translate,2px,224,0.868768,42,9d844b58
translate,2px,225,0.854558,42,9d844b58
translate,2px,226,0.850654,42,9d844b58
translate,2px,227,0.853152,42,9d844b58
translate,2px,228,0.858218,42,9d844b58
translate,2px,229,0.872883,42,9d844b58
translate,2px,230,0.890104,42,9d844b58
translate,2px,231,0.848979,42,9d844b58
translate,2px,232,0.88027,42,9d844b58
translate,2px,233,0.869043,42,9d844b58
translate,2px,234,0.847386,42,9d844b58
translate,2px,235,0.86408,42,9d844b58
translate,2px,236,0.857615,42,9d844b58
translate,2px,237,0.872155,42,9d844b58
translate,2px,238,0.853784,42,9d844b58
translate,2px,239,0.881946,42,9d844b58
translate,2px,240,0.905844,42,9d844b58
translate,2px,241,0.880634,42,9d844b58
translate,2px,242,0.836815,42,9d844b58
translate,2px,243,0.860068,42,9d844b58
translate,2px,244,0.890871,42,9d844b58
translate,2px,245,0.907967,42,9d844b58
translate,2px,246,0.892881,42,9d844b58
translate,2px,247,0.844686,42,9d844b58
translate,2px,248,0.854072,42,9d844b58
translate,2px,249,0.878541,42,9d844b58
translate,2px,250,0.894574,42,9d844b58
translate,2px,251,0.895835,42,9d844b58
translate,2px,252,0.889366,42,9d844b58
translate,2px,253,0.890372,42,9d844b58
translate,2px,254,0.895565,42,9d844b58
translate,2px,255,0.869355,42,9d844b58
translate,2px,256,0.879591,42,9d844b58
translate,2px,257,0.851255,42,9d844b58
translate,2px,258,0.879842,42,9d844b58
translate,2px,259,0.887109,42,9d844b58
translate,5px,182,0.828368,42,9d844b58
translate,5px,183,0.845175,42,9d844b58
translate,5px,184,0.769047,42,9d844b58
translate,5px,185,0.868293,42,9d844b58
translate,5px,186,0.863444,42,9d844b58
translate,5px,187,0.839543,42,9d844b58
translate,5px,188,0.826619,42,9d844b58
translate,5px,189,0.680742,42,9d844b58
translate,5px,190,0.838907,42,9d844b58
translate,5px,191,0.822661,42,9d844b58
translate,5px,192,0.846628,42,9d844b58
translate,5px,193,0.837071,42,9d844b58
translate,5px,194,0.822377,42,9d844b58
translate,5px,195,0.836853,42,9d844b58
translate,5px,196,0.7869,42,9d844b58
translate,5px,197,0.898943,42,9d844b58
translate,5px,198,0.79227,42,9d844b58
translate,5px,199,0.756152,42,9d844b58
translate,5px,200,0.874203,42,9d844b58
translate,5px,201,0.838372,42,9d844b58
translate,5px,202,0.845094,42,9d844b58
translate,5px,203,0.843024,42,9d844b58
translate,5px,204,0.843117,42,9d844b58
translate,5px,205,0.848077,42,9d844b58
translate,5px,206,0.87231,42,9d844b58
translate,5px,207,0.826903,42,9d844b58
translate,5px,208,0.843091,42,9d844b58
translate,5px,209,0.83142,42,9d844b58
translate,5px,210,0.814166,42,9d844b58
translate,5px,211,0.891634,42,9d844b58
translate,5px,212,0.872482,42,9d844b58
translate,5px,213,0.757428,42,9d844b58
translate,5px,214,0.651612,42,9d844b58
