bb_idx,MT_DeepImmuno,WT_DeepImmuno
217,0.9186852,0.88948953
218,0.8705958,0.85348666
219,0.9198234,0.9368048
220,0.8076278,0.8762784
221,0.9635504,0.971756
222,0.9044216,0.9260974
223,0.9213205,0.93977916
224,0.8242061,0.8360873
225,0.80781406,0.8613205
226,0.93307203,0.93651366
227,0.81697804,0.89580727
228,0.8817346,0.9483495
229,0.76999253,0.7590702
230,0.8178624,0.7710122
231,0.944572,0.9505476
232,0.9011321,0.94339585
233,0.77670527,0.84298366
234,0.79406226,0.91385484
235,0.85307837,0.9382528
236,0.90173745,0.9660773
237,0.4101411,0.6041641
238,0.9143566,0.85840666
239,0.67953104,0.71397364
240,0.84075415,0.75110286
241,0.5554123,0.5374396
242,0.7706545,0.674997
243,0.7743685,0.778283
244,0.8745731,0.8123971
245,0.2603814,0.3069017
246,0.6567598,0.550566
247,0.6601356,0.66405183
248,0.6670719,0.6558138
249,0.7344388,0.7829592
250,0.8563894,0.84700775
251,0.7446418,0.8219805
252,0.8998708,0.92170364
253,0.39388508,0.6253855
254,0.5609282,0.83112836
255,0.75850236,0.8998953
256,0.65936995,0.8736732
257,0.24580884,0.19586354
258,0.6950631,0.6120741
259,0.45898205,0.38919657
260,0.74931306,0.61983347
261,0.57412136,0.55808944
262,0.91804075,0.9186074
263,0.8597481,0.8954811
264,0.95038867,0.9282781
265,0.7204971,0.7032305
266,0.9816356,0.9896989
267,0.8532357,0.9360852
268,0.97276694,0.97038424
269,0.8202886,0.78461254
270,0.9588596,0.929597
271,0.82906413,0.81529653
272,0.94448245,0.92239153
273,0.20620456,0.18549588
274,0.48115298,0.39272046
275,0.72010034,0.67234945
276,0.56728256,0.5054355
277,0.5657824,0.5586145
278,0.7335581,0.80708265
279,0.8160372,0.8358878
280,0.77518046,0.8017045
281,0.841612,0.82481134
282,0.9360614,0.9519123
283,0.905568,0.9318037
284,0.97121465,0.97170794
285,0.55631536,0.64109385
286,0.87493587,0.8767232
287,0.77255195,0.78013587
288,0.87393844,0.8970783
289,0.6312134,0.6949491
290,0.5909432,0.56596464
291,0.84935534,0.8702669
292,0.80597126,0.8275943
293,0.64370495,0.5295743
294,0.9043001,0.862504
295,0.8538977,0.81677055
296,0.8942162,0.8421786
297,0.44899848,0.5141482
298,0.6680812,0.7238172
299,0.7351062,0.7911871
300,0.73400784,0.77066636
301,0.41209716,0.7004647
302,0.93480337,0.98863536
303,0.86803734,0.9601963
304,0.9542499,0.9919667
305,0.17149094,0.23356527
