bb_idx,MT_Neoag
399,1.933884
400,1.933884
401,1.933884
402,1.933884
403,1.933884
404,1.933884
405,1.933884
406,1.933884
407,1.933884
408,1.933884
409,1.933884
410,1.933884
411,1.933884
412,1.933884
413,1.933884
414,1.933884
415,1.933884
416,1.933884
417,1.933884
418,1.933884
419,1.933884
420,1.933884
421,1.933884
422,1.933884
423,1.933884
424,1.933884
425,1.933884
426,1.933884
427,1.933884
428,1.933884
429,1.933884
430,1.933884
431,1.933884
432,1.933884
433,1.933884
434,1.933884
435,1.933884
436,1.933884
437,1.933884
438,1.933884
439,1.933884
440,1.933884
441,1.933884
442,1.933884
443,1.933884
444,1.933884
445,1.933884
446,1.933884
447,1.933884
448,1.933884
449,1.933884
450,1.933884
451,1.933884
452,1.933884
453,1.933884
454,1.933884
455,1.933884
456,1.933884
457,1.933884
458,1.933884
459,1.933884
460,1.933884
461,1.933884
462,1.933884
463,1.933884
464,1.933884
465,1.933884
466,1.933884
467,1.933884
468,1.933884
469,1.933884
470,1.933884
471,1.933884
472,1.933884
473,1.933884
474,1.933884
475,1.933884
476,1.933884
477,1.933884
478,1.933884
479,1.933884
480,1.933884
481,1.933884
482,1.933884
483,1.933884
484,1.933884
485,1.933884
486,1.933884
487,1.933884
488,1.933884
489,1.933884
490,1.933884
491,1.933884
492,1.933884
493,1.933884
494,1.933884
495,1.933884
496,1.933884
497,1.933884
498,1.933884
499,1.933884
500,1.933884
501,1.933884
502,1.933884
503,1.933884
504,1.933884
505,1.933884
506,1.933884
507,1.933884
508,1.933884
509,1.933884
510,1.933884
511,1.933884
512,1.933884
513,1.933884
514,1.933884
515,1.933884
516,1.933884
517,1.933884
518,1.933884
519,1.933884
520,1.933884
521,1.933884
522,1.933884
523,1.933884
524,1.933884
525,1.933884
526,1.933884
527,1.933884
528,13.16998
529,13.16998
530,13.16998
531,13.16998
532,13.16998
533,13.16998
534,13.16998
535,13.16998
536,13.16998
537,13.16998
538,13.16998
539,13.16998
540,13.16998
541,13.16998
542,13.16998
543,13.16998
544,13.16998
545,13.16998
546,13.16998
547,13.16998
548,13.16998
549,13.16998
550,13.16998
551,13.16998
552,13.16998
553,13.16998
554,13.16998
555,13.16998
556,13.16998
557,13.16998
558,13.16998
559,13.16998
560,13.16998
561,13.16998
562,13.16998
563,13.16998
564,13.16998
565,13.16998
566,13.16998
567,13.16998
568,13.16998
569,13.16998
570,13.16998
571,13.16998
572,13.16998
573,13.16998
574,13.16998
575,13.16998
576,142.385411
577,142.385411
578,142.385411
579,142.385411
580,142.385411
581,142.385411
582,34.773693
583,34.773693
584,34.773693
585,34.773693
586,34.773693
587,34.773693
588,71.789602
589,71.789602
590,71.789602
591,71.789602
592,71.789602
593,71.789602
