bb_idx,MT_MHCSeqNet,WT_MHCSeqNet
502,0.9986032,0.9985961
503,0.9962199,0.99090993
504,0.35173094,0.27226782
505,0.9232611,0.8183615
506,0.98688793,0.97195816
507,0.99991244,0.9992441
508,0.9944966,0.9889897
509,0.9911037,0.98121107
510,0.8035952,0.9069897
511,0.98382455,0.99655485
512,0.72766805,0.8051914
513,0.9823803,0.9837322
514,0.98628855,0.99622977
515,0.9210037,0.98951846
516,0.94524544,0.9895321
517,0.92535645,0.9040188
518,0.94195616,0.9380194
519,0.9789628,0.99027634
520,0.98542035,0.98699117
521,0.9223445,0.9421004
522,0.9706094,0.95165694
523,0.9610032,0.935241
524,0.8483769,0.80274
525,0.96146184,0.9615594
526,0.99903464,0.99904937
527,0.8835747,0.8411696
528,0.47115934,0.6878369
529,0.14734107,0.27428275
530,0.44422624,0.34050524
531,0.90774584,0.9469612
532,0.9798392,0.99058664
533,0.48944294,0.7553883
534,0.81593907,0.85745025
535,0.45159638,0.40725678
536,0.71608245,0.600058
537,0.89951336,0.890707
538,0.9933801,0.9891267
539,0.71416473,0.6392255
540,0.97496533,0.98408395
541,0.9766909,0.9777875
542,0.39109173,0.40396598
543,0.995489,0.9982976
544,0.99816275,0.99737704
545,0.9951077,0.9953094
546,0.93989444,0.9309585
547,0.90888184,0.9051532
548,0.5395657,0.47787693
549,0.9631101,0.9558815
550,0.9843938,0.9882311
551,0.8104578,0.7563715
552,0.92187876,0.88194364
553,0.58253133,0.558647
554,0.9523076,0.94266665
555,0.9365002,0.90476453
556,0.966192,0.944487
557,0.7831014,0.7056807
558,0.64553046,0.7207388
559,0.24754637,0.25047848
560,0.975783,0.9752768
561,0.9685583,0.95878965
562,0.9977855,0.99733603
563,0.68246955,0.5897259
564,0.89658713,0.8985213
565,0.8579751,0.89687926
566,0.9748131,0.9735
567,0.8697986,0.8849019
568,0.9914249,0.99672234
569,0.6483988,0.7049509
570,0.8478148,0.87373865
571,0.9483321,0.9545175
572,0.99872386,0.9996885
573,0.8860071,0.8596026
574,0.99458975,0.99308044
575,0.8315798,0.8214842
576,0.99658275,0.99989206
577,0.95035064,0.8880702
578,0.9787449,0.16358772
579,0.99187577,0.99781024
580,0.9999125,0.9997255
581,0.96439034,0.9840504
582,0.7101902,0.58450896
583,0.22948763,0.09786838
584,0.87043434,0.57683104
585,0.8996042,0.9181341
586,0.9976355,0.9953205
587,0.7003701,0.6029477
588,0.0052755773,0.0033701658
589,0.49821037,0.5338201
590,0.96476614,0.97535926
591,0.21252948,0.38496402
592,0.5400466,0.40923417
593,0.49872762,0.6074561
594,0.5761394,0.73705804
595,0.25044572,0.39796582
596,0.8720824,0.92310995
597,0.5871617,0.7180369
598,0.95767605,0.98315454
599,0.30011022,0.41417727
600,0.3990733,0.5798894
601,0.90941536,0.96579576
602,0.29488865,0.39894783
603,0.80871105,0.80331624
604,0.95683944,0.9581336
605,0.65645814,0.7679815
606,0.21262938,0.08830443
607,0.50041604,0.51338005
608,0.81807387,0.67197925
609,0.9986672,0.99904513
610,0.9996052,0.9995879
611,0.9929224,0.9927425
612,0.83201957,0.84073764
613,0.81247914,0.8297087
614,0.42378956,0.30778867
615,0.8590932,0.8981602
616,0.99534625,0.9970003
617,0.49282944,0.76227903
618,0.95594037,0.983615
619,0.81582963,0.95225585
620,0.87398565,0.93325114
621,0.9936282,0.9967461
622,0.99877095,0.99794805
623,0.9119863,0.98239493
624,0.76456,0.9016624
625,0.5437549,0.70369184
626,0.47743234,0.8818655
627,0.9301965,0.91149926
628,0.99396706,0.99728036
629,0.61292994,0.7813728
630,0.72928303,0.7026038
631,0.66776246,0.6424631
632,0.6075757,0.7351396
633,0.87205327,0.9072118
634,0.9969563,0.9919697
635,0.3849569,0.44852892
636,0.6921428,0.6627425
637,0.5432907,0.5865871
638,0.62175155,0.73757493
639,0.92023134,0.9135079
640,0.9845164,0.98899096
641,0.12810782,0.20129079
642,0.9764383,0.98138547
643,0.5941026,0.75251114
644,0.5448236,0.72904575
645,0.9467947,0.9765685
646,0.9899746,0.99570376
647,0.61857814,0.68329525
648,0.51473975,0.389328
649,0.28397357,0.2592898
650,0.27274668,0.32771367
651,0.9994304,0.99928445
652,0.9669627,0.96851003
653,0.6676949,0.6174248
654,0.9735435,0.93474793
655,0.5494368,0.5399283
656,0.7526039,0.72380877
657,0.941033,0.95475376
658,0.98948133,0.9879445
659,0.5349154,0.56446755
660,0.9588485,0.93366885
661,0.3685933,0.5814931
662,0.94767654,0.9842431
663,0.96220416,0.9696325
664,0.9974397,0.9993183
665,0.69741464,0.9283675
666,0.9105725,0.93997806
667,0.52855223,0.8293613
668,0.936726,0.39398932
669,0.9970559,0.99793565
670,0.9955447,0.97404575
671,0.97784895,0.9649238
672,0.77390474,0.69702065
673,0.6584437,0.6012803
674,0.44848138,0.51617694
675,0.94351685,0.98354673
676,0.9876544,0.997931
677,0.74400085,0.8625132
678,0.99575716,0.99947894
679,0.62495834,0.71116835
680,0.83030057,0.75456697
681,0.9203633,0.96209204
682,0.9993608,0.9997097
683,0.7318348,0.7024531
684,0.55213135,0.6445677
685,0.3458389,0.3306536
686,0.7374135,0.72939897
687,0.99723524,0.9985032
688,0.9790926,0.9835683
