bb_idx,MT_Seq2Neo,WT_Seq2Neo
820,0.937882,0.950778
821,0.932463,0.94513
822,0.317787,0.273125
823,0.656165,0.700751
824,0.819898,0.840106
825,0.772932,0.765498
826,0.927818,0.942372
827,0.924843,0.937746
828,0.256375,0.17115
829,0.728696,0.728102
830,0.845271,0.831461
831,0.775828,0.681486
832,0.929289,0.937447
833,0.919681,0.928624
834,0.416884,0.245952
835,0.70493,0.697205
836,0.851515,0.838204
837,0.823268,0.807857
838,0.935378,0.947194
839,0.922489,0.933889
840,0.78558,0.731872
841,0.811732,0.797928
842,0.90854,0.908272
843,0.891396,0.883599
844,0.953993,0.960525
845,0.946871,0.953032
846,0.770721,0.406853
847,0.78342,0.640766
848,0.895544,0.833351
849,0.875006,0.794237
850,0.942121,0.918476
851,0.935959,0.908699
852,0.631283,0.423543
853,0.735083,0.679943
854,0.856479,0.82606
855,0.811072,0.775285
856,0.926583,0.908334
857,0.916502,0.901413
858,0.722437,0.708631
859,0.773408,0.754261
860,0.873838,0.881305
861,0.859738,0.863076
862,0.937113,0.942871
863,0.92988,0.934955
864,0.677972,0.618358
865,0.709042,0.670261
866,0.812845,0.791023
867,0.771914,0.7283
868,0.904362,0.873951
869,0.891581,0.857219
870,0.703126,0.499738
871,0.708548,0.553769
872,0.845744,0.705784
873,0.828467,0.696396
874,0.909346,0.799785
875,0.898973,0.794263
876,0.633089,0.632486
877,0.641416,0.622206
878,0.809893,0.781887
879,0.790022,0.76615
880,0.873589,0.852091
881,0.860739,0.844214
882,0.425088,0.508754
883,0.591044,0.645223
884,0.763973,0.797349
885,0.718702,0.743878
886,0.858501,0.900827
887,0.84879,0.887101
888,0.370937,0.443608
889,0.581377,0.685035
890,0.754957,0.827825
891,0.695265,0.771427
892,0.87275,0.924313
893,0.855796,0.910777
894,0.307347,0.39373
895,0.662715,0.682651
896,0.831719,0.83892
897,0.784653,0.783705
898,0.930301,0.926432
899,0.918889,0.917527
900,0.301889,0.366894
901,0.657275,0.648505
902,0.794474,0.751028
903,0.720824,0.686511
904,0.914175,0.880986
905,0.900873,0.868711
906,0.383369,0.410543
907,0.679431,0.693863
908,0.831454,0.819962
909,0.791183,0.781993
910,0.914911,0.911404
911,0.898213,0.896035
912,0.422393,0.39938
913,0.581643,0.613899
914,0.782647,0.796349
915,0.753504,0.764248
916,0.894924,0.911308
917,0.889257,0.90217
918,0.663292,0.595548
919,0.709873,0.650296
920,0.854492,0.80806
921,0.825726,0.772389
922,0.944471,0.912899
923,0.938804,0.905357
924,0.589659,0.696368
925,0.723758,0.712442
926,0.866796,0.845554
927,0.828906,0.815501
928,0.944527,0.925149
929,0.93684,0.914661
930,0.394058,0.644811
931,0.68873,0.714
932,0.829896,0.860896
933,0.775557,0.79245
934,0.932308,0.932995
935,0.928593,0.924925
936,0.627221,0.771905
937,0.74936,0.795999
938,0.868395,0.90526
939,0.842945,0.878568
940,0.941632,0.94985
941,0.930024,0.939674
942,0.188309,0.3374
943,0.650345,0.723507
944,0.746939,0.796893
945,0.601871,0.736699
946,0.910462,0.915771
947,0.902311,0.90601
948,0.39781,0.372255
949,0.705021,0.728406
950,0.801134,0.790787
951,0.798098,0.77894
952,0.931399,0.931286
953,0.929795,0.927105
954,0.299201,0.234204
955,0.65353,0.645253
956,0.813013,0.780327
957,0.796539,0.726404
958,0.933908,0.917949
959,0.924838,0.908239
960,0.425735,0.313527
961,0.653231,0.646222
962,0.798844,0.753771
963,0.740351,0.668678
964,0.883593,0.872514
