bb_idx,MT_ImmuneApp,WT_ImmuneApp
403,6.815791130065918e-05,4.470348358154297e-06
404,9.691715240478516e-05,8.910894393920898e-06
405,0.1992108225822448,0.4509632289409637
406,2.205371856689453e-06,0.0106953382492065
407,0.0943898856639862,0.9994592070579528
408,0.0005000531673431,0.0005607306957244
409,1.576542854309082e-05,0.0010579526424407
410,1.800060272216797e-05,0.0024364292621612
411,0.9993632435798644,0.0109656453132629
412,0.0280633270740509,1.4424324035644531e-05
413,1.8388032913208008e-05,0.0003275871276855
414,0.4377664029598236,0.9999814629554749
415,0.0005852580070495,0.5697500705718994
416,0.0006574094295501,0.0249684751033782
417,4.470348358154297e-07,2.175569534301758e-06
418,3.3974647521972656e-06,2.086162567138672e-07
419,9.08970832824707e-06,1.4007091522216797e-06
420,0.9997072219848632,0.993340015411377
421,0.6525179743766785,4.225969314575195e-05
422,0.4579910039901733,9.620189666748048e-05
423,6.949901580810547e-05,1.3083219528198242e-05
424,9.03010368347168e-06,1.6391277313232422e-06
425,5.27501106262207e-06,0.0003212392330169
426,0.0013458728790283,0.9996846914291382
427,4.76837158203125e-07,0.4500311911106109
428,3.039836883544922e-06,0.9810957908630372
429,0.9999302625656128,0.9998907446861268
430,0.0053237676620483,0.0552267432212829
431,0.0021392405033111,0.0200064480304718
432,0.9700297117233276,0.0002929270267486
433,0.0080496072769165,0.0006833672523498
434,0.0032820999622344,0.007433533668518
435,0.0010885894298553,0.0014203786849975
436,0.0001708567142486,9.173154830932616e-05
437,0.9598042368888856,2.759695053100586e-05
438,0.0109937191009521,0.0266028344631195
439,1.0609626770019531e-05,2.056360244750977e-06
440,6.765127182006836e-05,0.0082426071166992
441,3.8743019104003917e-07,2.682209014892578e-07
442,2.276897430419922e-05,7.152557373046875e-07
443,2.312660217285156e-05,1.4692544937133787e-05
444,0.5511830449104309,3.159046173095703e-05
445,1.284480094909668e-05,3.316998481750488e-05
446,0.207903504371643,3.063678741455078e-05
447,8.058547973632812e-05,0.0222102105617523
448,2.682209014892578e-07,2.506375312805176e-05
449,0.0010831952095031,9.86158847808838e-05
450,0.1342009007930755,0.0004589557647705
451,1.576542854309082e-05,1.2040138244628906e-05
452,0.0172910988330841,0.0002919435501098
453,0.0015680789947509,0.0430552661418914
454,7.12275505065918e-06,7.748603820800781e-07
455,0.0007486641407012,1.2069940567016602e-05
456,0.3615315556526184,0.0028483569622039
457,0.2530949115753174,0.0001592338085174
458,0.627410888671875,0.0003500282764434
459,3.725290298461914e-05,0.0074441730976104
460,5.802512168884277e-05,3.826618194580078e-05
461,0.0061349272727966,0.0001524686813354
462,0.9957718849182128,0.9999524354934692
463,5.930662155151367e-06,5.692243576049805e-06
464,4.0918588638305664e-05,0.0303549766540527
465,9.83476638793945e-07,1.996755599975586e-06
466,5.692243576049805e-05,2.086162567138672e-05
467,5.841255187988281e-06,0.9297429323196412
468,0.8502634763717651,6.386637687683105e-05
469,0.0013359785079956,3.2186508178710938e-06
470,0.0008650720119476,0.0009235143661499
471,2.771615982055664e-06,0.0
472,3.6388635635375977e-05,8.642673492431641e-07
473,0.0953188836574554,6.16908073425293e-06
474,0.4855840802192688,0.0167898535728454
475,1.1920928955078125e-06,5.677342414855957e-05
476,0.6970243453979492,0.0009578466415405
477,0.000711590051651,0.0093619227409362
478,0.6572606563568115,0.988740622997284
479,0.001136690378189,4.7832727432250977e-05
480,0.0118408501148223,5.14984130859375e-05
481,0.0491427481174469,0.4142975509166717
482,0.9770259857177734,0.9378522634506226
483,3.993511199951172e-06,2.086162567138672e-07
484,0.0092478990554809,3.039836883544922e-06
485,0.0186453759670257,6.070733070373535e-05
486,0.999967634677887,0.9999080300331116
487,0.0740361213684082,0.9552017450332642
488,8.752942085266113e-05,0.8946560621261597
489,5.930662155151367e-06,2.8908252716064453e-06
490,0.0071030855178833,0.0435541272163391
491,0.0013445317745208,0.9946291446685792
492,3.74913215637207e-05,4.667043685913086e-05
493,0.999991774559021,0.9990798234939576
494,0.999952793121338,0.9851275086402892
495,0.9912192225456238,0.001705527305603
496,6.109476089477539e-06,2.7468377084005624e-06
497,6.017088890075684e-05,2.03549861907959e-05
498,0.0044447779655456,3.713369369506836e-05
499,0.9999083876609802,0.9844998717308044
500,0.9745365381240844,0.0268833041191101
501,0.0010104477405548,0.4992714822292328
502,7.838010787963867e-06,9.804964065551758e-06
503,0.0004864633083343,0.000471144914627
504,3.2961368560791016e-05,7.641315460205078e-05
505,0.0002683401107788,7.06017017364502e-05
506,0.0075182020664215,0.005663514137268
507,1.1026859283447266e-06,2.086162567138672e-06
508,0.0001774728298187,0.0001005232334136
509,4.971027374267578e-05,3.56137752532959e-05
510,0.0002013742923736,0.0253203809261322
511,0.0006892681121826,0.997783899307251
512,0.0089287757873535,0.9999774694442748
513,3.30805778503418e-06,8.314847946166992e-05
514,2.378225326538086e-05,0.0406475663185119
515,3.767013549804688e-05,0.9999784231185912
516,0.0002304911613464,0.0001971125602722
517,0.0006496310234069,0.0003823637962341
518,0.999857783317566,0.0070838034152984
519,7.748603820800781e-07,0.0002261996269226
520,8.046627044677734e-07,3.039836883544922e-06
