bb_idx,MT_TSCAPE,WT_TSCAPE
734,0.111558,0.203344
735,0.411001,0.508824
736,0.085766,0.118025
737,0.124085,0.155744
738,0.099769,0.070691
739,0.151306,0.141392
740,0.186797,0.09899
741,0.264554,0.219571
742,0.062062,0.043191
743,0.077908,0.059576
744,0.158132,0.225969
745,0.172999,0.248671
746,0.063702,0.187508
747,0.249712,0.469243
748,0.077934,0.103239
749,0.08101,0.12457
750,0.159728,0.144579
751,0.198881,0.190303
752,0.246371,0.111091
753,0.318367,0.330955
754,0.084393,0.072754
755,0.096049,0.08164
756,0.195935,0.19089
757,0.309588,0.228877
758,0.153039,0.159899
759,0.427441,0.370341
760,0.122623,0.100574
761,0.149827,0.127158
762,0.077096,0.107692
763,0.087064,0.113318
764,0.051921,0.047829
765,0.187797,0.212308
766,0.04046,0.055697
767,0.046611,0.066951
768,0.098124,0.069456
769,0.156277,0.097643
770,0.036471,0.032968
771,0.209871,0.159846
772,0.046057,0.034909
773,0.061179,0.045842
774,0.165802,0.104914
775,0.224608,0.149803
776,0.18732,0.144991
777,0.420533,0.287811
778,0.071057,0.052341
779,0.12674,0.080691
780,0.0838,0.087623
781,0.083069,0.090777
782,0.061493,0.071584
783,0.286027,0.281303
784,0.056257,0.061173
785,0.059904,0.057309
786,0.096233,0.088004
787,0.184925,0.178446
788,0.081926,0.084425
789,0.22216,0.206346
790,0.064935,0.063451
791,0.077331,0.075622
792,0.128354,0.154836
793,0.123202,0.165075
794,0.142558,0.185179
795,0.311291,0.368902
796,0.068386,0.082265
797,0.093282,0.121207
798,0.036579,0.042992
799,0.057283,0.056966
800,0.034824,0.035152
801,0.128453,0.146576
802,0.022184,0.022784
803,0.027756,0.027301
804,0.072925,0.071195
805,0.113372,0.11881
806,0.109687,0.133323
807,0.240119,0.242662
808,0.042326,0.044772
809,0.055629,0.059775
810,0.108491,0.116184
811,0.147145,0.154136
812,0.105167,0.122945
813,0.317281,0.345566
814,0.066221,0.080617
815,0.073505,0.085569
816,0.093786,0.100248
817,0.112312,0.147592
818,0.052288,0.056196
819,0.242051,0.261039
820,0.065004,0.077403
821,0.077384,0.086146
822,0.123799,0.138404
823,0.159918,0.196553
824,0.070631,0.077466
825,0.249355,0.25131
826,0.062134,0.072157
827,0.084928,0.102008
828,0.072064,0.072269
829,0.09165,0.093953
830,0.084845,0.079089
831,0.170011,0.174485
832,0.051848,0.053519
833,0.05324,0.055643
834,0.057707,0.056594
835,0.127632,0.127241
836,0.063925,0.067279
837,0.160074,0.148868
838,0.044801,0.043665
839,0.060041,0.06279
840,0.170323,0.151196
841,0.210855,0.177934
842,0.090144,0.080799
843,0.251028,0.241889
844,0.0801,0.076606
845,0.095461,0.08775
846,0.046743,0.038558
847,0.073174,0.06634
848,0.062579,0.064784
849,0.126724,0.111155
850,0.033615,0.030453
851,0.036742,0.035428
852,0.078395,0.084673
853,0.162239,0.156626
854,0.113029,0.112974
855,0.22062,0.227301
856,0.056665,0.060434
857,0.067324,0.06939
858,0.177399,0.16719
859,0.219157,0.198859
860,0.115199,0.10188
861,0.378344,0.354538
862,0.077334,0.07147
863,0.113466,0.097738
864,0.035484,0.04164
865,0.05911,0.073517
866,0.026873,0.030828
867,0.095984,0.118143
868,0.026657,0.028282
869,0.025298,0.031228
870,0.134602,0.10989
871,0.215981,0.173265
872,0.147706,0.148146
873,0.261285,0.256475
874,0.065135,0.057003
875,0.089594,0.066376
876,0.133536,0.125316
877,0.194454,0.19981
878,0.083164,0.102002
879,0.241849,0.263711
880,0.066156,0.062906
881,0.082976,0.089106
882,0.209381,0.222157
883,0.252143,0.238342
884,0.109966,0.131247
885,0.333513,0.387007
886,0.092898,0.116004
887,0.117368,0.122496
888,0.057697,0.070575
889,0.089466,0.108975
890,0.074576,0.080761
891,0.15742,0.166424
892,0.044309,0.053353
893,0.055604,0.060626
894,0.095245,0.08372
895,0.090242,0.105036
896,0.046488,0.044065
897,0.132039,0.150862
898,0.040736,0.039749
899,0.038292,0.038155
900,0.105206,0.128223
901,0.157706,0.169644
902,0.166829,0.156191
903,0.244877,0.282641
904,0.071115,0.075285
905,0.072061,0.080069
906,0.064357,0.063823
907,0.064742,0.070221
908,0.031209,0.03114
909,0.141995,0.159525
910,0.028019,0.030577
911,0.035548,0.038308
912,0.124006,0.083687
913,0.209038,0.098234
914,0.069717,0.069225
915,0.181356,0.139907
916,0.061421,0.045941
917,0.07508,0.051509
918,0.128408,0.14204
919,0.159425,0.163559
920,0.111474,0.076771
921,0.268891,0.265667
922,0.090848,0.068974
923,0.10143,0.082254
924,0.048567,0.106603
925,0.09945,0.132121
926,0.041485,0.089356
927,0.170975,0.289139
928,0.03787,0.063923
929,0.053385,0.093044
930,0.074952,0.052759
931,0.136365,0.099053
932,0.086563,0.037192
933,0.179601,0.115263
934,0.050174,0.032811
935,0.070956,0.038249
936,0.056936,0.101827
937,0.092648,0.187378
938,0.058928,0.137433
939,0.160857,0.278296
940,0.038552,0.065733
941,0.040315,0.083906
942,0.114972,0.102609
943,0.234728,0.180272
944,0.194391,0.067257
945,0.322948,0.289597
946,0.089181,0.057986
947,0.147639,0.084005
948,0.05822,0.044142
949,0.069267,0.08141
950,0.038011,0.05281
951,0.147797,0.130438
952,0.027666,0.031396
953,0.038521,0.035732
954,0.062718,0.080725
955,0.096533,0.133073
956,0.087421,0.097161
957,0.210514,0.244416
958,0.041036,0.05438
959,0.063789,0.094189
960,0.118977,0.090793
961,0.149668,0.128828
962,0.179983,0.123913
963,0.245657,0.194275
964,0.0511,0.047918
965,0.087822,0.080282
966,0.174668,0.193152
967,0.171585,0.237847
968,0.118941,0.139746
969,0.341355,0.444991
970,0.084322,0.103939
