bb_idx,MT_ICERFIRE
1693,0.127142
1694,0.127142
1695,0.149584
1696,
1697,0.158134
1698,0.140407
1699,0.141834
1700,0.197453
1701,
1702,0.181291
1703,0.166988
1704,0.166988
1705,0.171816
1706,
1707,0.173748
1708,0.185511
1709,0.185511
1710,0.207409
1711,
1712,0.196781
1713,0.182075
1714,0.182075
1715,0.197659
1716,
1717,0.193364
1718,0.178499
1719,0.164473
1720,0.217226
1721,
1722,0.200918
1723,0.148777
1724,0.148777
1725,0.169741
1726,
1727,0.171334
1728,0.207336
1729,0.207336
1730,0.204854
1731,
1732,0.206846
1733,0.160669
1734,0.160669
1735,0.226937
1736,
1737,0.196642
1738,0.150574
1739,0.150574
1740,0.218191
1741,
1742,0.209137
1743,0.150511
1744,0.150511
1745,0.172974
1746,
1747,0.178254
1748,0.155749
1749,0.155749
1750,0.181439
1751,
1752,0.156538
1753,0.121701
1754,0.121701
1755,0.176583
1756,
1757,0.148179
1758,0.131305
1759,0.131305
1760,0.158421
1761,
1762,0.153395
1763,0.16272
1764,0.16272
1765,0.166741
1766,
1767,0.161914
1768,0.125315
1769,0.125315
1770,0.261147
1771,
1772,0.223213
1773,0.095095
1774,0.095095
1775,0.185416
1776,
1777,0.166123
1778,0.094646
1779,0.094646
1780,0.188194
1781,
1782,0.118581
1783,0.093939
1784,0.093939
1785,0.122419
1786,
1787,0.081166
1788,0.135129
1789,0.135129
1790,0.155109
1791,
1792,0.129238
1793,0.172697
1794,0.172697
1795,0.133778
1796,
1797,0.139824
1798,0.173652
1799,0.175908
1800,0.141577
1801,
1802,0.146602
1803,0.111548
1804,0.111548
1805,0.162201
1806,
1807,0.167766
1808,0.142698
1809,0.142698
1810,0.15741
1811,
1812,0.141778
1813,0.153321
1814,0.153321
1815,0.173046
1816,
1817,0.162239
1818,0.158054
1819,0.158054
1820,0.200333
1821,
1822,0.201333
1823,0.177962
1824,0.177962
1825,0.191686
1826,
1827,0.193122
1828,0.158177
1829,0.158177
1830,0.173977
1831,
1832,0.152079
1833,0.152953
1834,0.152953
1835,0.180674
1836,
1837,0.151699
1838,0.174524
1839,0.174524
1840,0.146662
1841,
1842,0.168944
1843,0.161516
1844,0.161516
1845,0.159558
1846,
1847,0.148419
1848,0.102913
1849,0.102913
1850,0.128958
1851,
1852,0.102812
1853,0.143401
1854,0.144879
1855,0.1692
1856,
1857,0.164354
1858,0.177826
1859,0.177826
1860,0.14756
1861,
1862,0.148653
1863,0.172025
1864,0.172126
1865,0.152332
1866,
1867,0.138599
1868,0.130361
1869,0.130361
1870,0.171783
1871,
1872,0.172052
1873,0.125395
1874,0.125395
1875,0.136286
1876,
1877,0.18137
1878,0.16643
1879,0.16643
1880,0.140421
1881,
1882,0.155913
1883,0.127418
1884,0.127418
1885,0.149317
1886,
1887,0.122166
1888,0.156079
1889,0.156079
1890,0.196899
1891,
1892,0.18598
1893,0.160073
1894,0.161716
1895,0.198828
1896,
1897,0.195941
1898,0.223471
1899,0.223471
1900,0.220689
1901,
1902,0.226005
1903,0.241826
1904,0.241826
1905,0.264332
1906,
1907,0.234426
1908,0.19971
1909,0.19971
1910,0.228445
1911,
1912,0.22592
1913,0.154819
1914,0.154819
1915,0.240395
1916,
1917,0.236634
1918,0.15209
1919,0.15209
1920,0.2234
1921,
1922,0.22728
1923,0.150325
1924,0.150325
1925,0.179223
1926,
1927,0.156207
1928,0.181534
1929,0.181534
1930,0.247541
1931,
1932,0.250572
1933,0.230116
1934,0.230116
1935,0.208506
1936,
1937,0.226434
1938,0.259416
1939,0.259416
1940,0.28584
1941,
1942,0.218025
