baseline,method,threshold,cost_ratio_r,c_biopsy_anchor,c_miss_anchor_usd,exp_cost_normalized,treat_all_cost,treat_none_cost,net_benefit,prevalence
A,EfficientNet-B3,0.8762,50.0,58.4,259447.0,3.816667,1.0,10.0,-1.190674,0.2
A,EfficientNet-B3,0.8811,50.0,58.4,259447.0,3.816667,1.0,10.0,-1.253427,0.2
A,EfficientNet-B3,0.8861,50.0,58.4,259447.0,3.976667,1.0,10.0,-1.299043,0.2
A,EfficientNet-B3,0.891,50.0,58.4,259447.0,3.976667,1.0,10.0,-1.372113,0.2
A,EfficientNet-B3,0.896,50.0,58.4,259447.0,3.973333,1.0,10.0,-1.42343,0.2
A,EfficientNet-B3,0.9009,50.0,58.4,259447.0,3.97,1.0,10.0,-1.479541,0.2
A,EfficientNet-B3,0.9059,50.0,58.4,259447.0,4.133333,1.0,10.0,-1.576609,0.2
A,EfficientNet-B3,0.9108,50.0,58.4,259447.0,4.456667,1.0,10.0,-1.653375,0.2
A,EfficientNet-B3,0.9158,50.0,58.4,259447.0,4.616667,1.0,10.0,-1.734652,0.2
A,EfficientNet-B3,0.9207,50.0,58.4,259447.0,4.61,1.0,10.0,-1.783206,0.2
A,EfficientNet-B3,0.9257,50.0,58.4,259447.0,4.606667,1.0,10.0,-1.878841,0.2
A,EfficientNet-B3,0.9306,50.0,58.4,259447.0,4.603333,1.0,10.0,-1.987642,0.2
A,EfficientNet-B3,0.9356,50.0,58.4,259447.0,4.596667,1.0,10.0,-2.064253,0.2
A,EfficientNet-B3,0.9405,50.0,58.4,259447.0,4.913333,1.0,10.0,-2.106474,0.2
A,EfficientNet-B3,0.9455,50.0,58.4,259447.0,5.236667,1.0,10.0,-2.268889,0.2
A,EfficientNet-B3,0.9504,50.0,58.4,259447.0,5.23,1.0,10.0,-2.391181,0.2
A,EfficientNet-B3,0.9554,50.0,58.4,259447.0,5.386667,1.0,10.0,-2.542443,0.2
A,EfficientNet-B3,0.9603,50.0,58.4,259447.0,5.386667,1.0,10.0,-2.88687,0.2
A,EfficientNet-B3,0.9653,50.0,58.4,259447.0,5.543333,1.0,10.0,-3.147558,0.2
A,EfficientNet-B3,0.9702,50.0,58.4,259447.0,5.703333,1.0,10.0,-3.600056,0.2
A,EfficientNet-B3,0.9752,50.0,58.4,259447.0,6.03,1.0,10.0,-4.364309,0.2
A,EfficientNet-B3,0.9801,50.0,58.4,259447.0,6.35,1.0,10.0,-5.177073,0.2
A,EfficientNet-B3,0.9851,50.0,58.4,259447.0,6.5,1.0,10.0,-6.076577,0.2
