Tool,Aggregation,Threshold,fpr,tpr,auc
PredIG,mean,>10,0.35135135135135137,0.59375,0.6309
PredIG,mean,>10,0.3783783783783784,0.59375,0.6309
PredIG,mean,>10,0.3783783783783784,0.625,0.6309
PredIG,mean,>10,0.43243243243243246,0.625,0.6309
PredIG,mean,>10,0.43243243243243246,0.640625,0.6309
PredIG,mean,>10,0.4864864864864865,0.640625,0.6309
PredIG,mean,>10,0.4864864864864865,0.703125,0.6309
PredIG,mean,>10,0.5135135135135135,0.703125,0.6309
PredIG,mean,>10,0.5135135135135135,0.8125,0.6309
PredIG,mean,>10,0.5675675675675675,0.8125,0.6309
PredIG,mean,>10,0.5675675675675675,0.859375,0.6309
PredIG,mean,>10,0.6216216216216216,0.859375,0.6309
PredIG,mean,>10,0.6216216216216216,0.875,0.6309
PredIG,mean,>10,0.7027027027027027,0.875,0.6309
PredIG,mean,>10,0.7027027027027027,0.90625,0.6309
PredIG,mean,>10,0.7837837837837838,0.90625,0.6309
PredIG,mean,>10,0.7837837837837838,0.96875,0.6309
PredIG,mean,>10,0.8918918918918919,0.96875,0.6309
PredIG,mean,>10,0.8918918918918919,0.984375,0.6309
PredIG,mean,>10,0.972972972972973,0.984375,0.6309
PredIG,mean,>10,0.972972972972973,1.0,0.6309
PredIG,mean,>10,1.0,1.0,0.6309
IMPROVE,max,>0,0.0,0.0,0.6207
IMPROVE,max,>0,0.0,0.011111111111111112,0.6207
IMPROVE,max,>0,0.0,0.05555555555555555,0.6207
IMPROVE,max,>0,0.0,0.07777777777777778,0.6207
IMPROVE,max,>0,0.09090909090909091,0.07777777777777778,0.6207
IMPROVE,max,>0,0.09090909090909091,0.1111111111111111,0.6207
IMPROVE,max,>0,0.09090909090909091,0.13333333333333333,0.6207
IMPROVE,max,>0,0.18181818181818182,0.13333333333333333,0.6207
IMPROVE,max,>0,0.18181818181818182,0.16666666666666666,0.6207
IMPROVE,max,>0,0.18181818181818182,0.26666666666666666,0.6207
IMPROVE,max,>0,0.18181818181818182,0.3,0.6207
IMPROVE,max,>0,0.18181818181818182,0.3111111111111111,0.6207
IMPROVE,max,>0,0.2727272727272727,0.3111111111111111,0.6207
IMPROVE,max,>0,0.2727272727272727,0.3333333333333333,0.6207
IMPROVE,max,>0,0.2727272727272727,0.35555555555555557,0.6207
IMPROVE,max,>0,0.2727272727272727,0.4222222222222222,0.6207
IMPROVE,max,>0,0.36363636363636365,0.43333333333333335,0.6207
IMPROVE,max,>0,0.36363636363636365,0.5444444444444444,0.6207
IMPROVE,max,>0,0.36363636363636365,0.5666666666666667,0.6207
IMPROVE,max,>0,0.36363636363636365,0.7222222222222222,0.6207
IMPROVE,max,>0,0.45454545454545453,0.7222222222222222,0.6207
IMPROVE,max,>0,0.45454545454545453,0.7555555555555555,0.6207
IMPROVE,max,>0,0.6363636363636364,0.7555555555555555,0.6207
IMPROVE,max,>0,0.6363636363636364,0.8333333333333334,0.6207
IMPROVE,max,>0,0.7272727272727273,0.8333333333333334,0.6207
IMPROVE,max,>0,0.7272727272727273,0.8888888888888888,0.6207
IMPROVE,max,>0,0.8181818181818182,0.8888888888888888,0.6207
IMPROVE,max,>0,0.8181818181818182,0.9444444444444444,0.6207
IMPROVE,max,>0,0.9090909090909091,0.9444444444444444,0.6207
IMPROVE,max,>0,0.9090909090909091,0.9777777777777777,0.6207
IMPROVE,max,>0,1.0,0.9777777777777777,0.6207
IMPROVE,max,>0,1.0,1.0,0.6207
IMPROVE,max,>10,0.0,0.0,0.6556
IMPROVE,max,>10,0.0,0.015625,0.6556
IMPROVE,max,>10,0.0,0.078125,0.6556
IMPROVE,max,>10,0.0,0.109375,0.6556
IMPROVE,max,>10,0.02702702702702703,0.109375,0.6556
IMPROVE,max,>10,0.02702702702702703,0.15625,0.6556
IMPROVE,max,>10,0.08108108108108109,0.15625,0.6556
IMPROVE,max,>10,0.10810810810810811,0.15625,0.6556
IMPROVE,max,>10,0.13513513513513514,0.1875,0.6556
IMPROVE,max,>10,0.13513513513513514,0.28125,0.6556
IMPROVE,max,>10,0.16216216216216217,0.28125,0.6556
IMPROVE,max,>10,0.16216216216216217,0.296875,0.6556
IMPROVE,max,>10,0.1891891891891892,0.296875,0.6556
IMPROVE,max,>10,0.24324324324324326,0.3125,0.6556
IMPROVE,max,>10,0.24324324324324326,0.328125,0.6556
IMPROVE,max,>10,0.2702702702702703,0.328125,0.6556
IMPROVE,max,>10,0.2702702702702703,0.359375,0.6556
IMPROVE,max,>10,0.2702702702702703,0.390625,0.6556
IMPROVE,max,>10,0.2702702702702703,0.484375,0.6556
IMPROVE,max,>10,0.2972972972972973,0.5,0.6556
IMPROVE,max,>10,0.2972972972972973,0.515625,0.6556
IMPROVE,max,>10,0.35135135135135137,0.515625,0.6556
IMPROVE,max,>10,0.35135135135135137,0.578125,0.6556
IMPROVE,max,>10,0.3783783783783784,0.578125,0.6556
IMPROVE,max,>10,0.3783783783783784,0.59375,0.6556
IMPROVE,max,>10,0.40540540540540543,0.59375,0.6556
IMPROVE,max,>10,0.40540540540540543,0.625,0.6556
IMPROVE,max,>10,0.43243243243243246,0.625,0.6556
IMPROVE,max,>10,0.43243243243243246,0.6875,0.6556
IMPROVE,max,>10,0.4594594594594595,0.6875,0.6556
IMPROVE,max,>10,0.4594594594594595,0.796875,0.6556
IMPROVE,max,>10,0.5135135135135135,0.796875,0.6556
IMPROVE,max,>10,0.5135135135135135,0.828125,0.6556
IMPROVE,max,>10,0.5945945945945946,0.828125,0.6556
IMPROVE,max,>10,0.5945945945945946,0.84375,0.6556
IMPROVE,max,>10,0.6486486486486487,0.84375,0.6556
IMPROVE,max,>10,0.6486486486486487,0.875,0.6556
IMPROVE,max,>10,0.7567567567567568,0.875,0.6556
IMPROVE,max,>10,0.7567567567567568,0.9375,0.6556
IMPROVE,max,>10,0.8378378378378378,0.9375,0.6556
IMPROVE,max,>10,0.8378378378378378,0.984375,0.6556
IMPROVE,max,>10,1.0,0.984375,0.6556
IMPROVE,max,>10,1.0,1.0,0.6556
IMPROVE,mean,>0,0.0,0.0,0.6182
IMPROVE,mean,>0,0.0,0.011111111111111112,0.6182
IMPROVE,mean,>0,0.0,0.03333333333333333,0.6182
IMPROVE,mean,>0,0.09090909090909091,0.03333333333333333,0.6182
IMPROVE,mean,>0,0.09090909090909091,0.13333333333333333,0.6182
