# robustness_subsample_results.csv
# QuantImmuBench §3.3.4 图 3: 病人内随机删突变子采样鲁棒性 (长表)
# 主分析集 DS2 病人=[101, 102, 104, 105, 106, 107, 108, 109, 110]; 维度集=7 维 ['MT_PredIG', 'MT_IMPROVE_mean_prediction_rf', 'MT_pTuneos', 'MT_PRIME', 'MT_ImmuneApp', 'MT_deepHLApan', 'pool_netAffneg_top20']
# kind=fusion(12 法)/single(单工具对照=各维列); drop_frac=删除比例(0=满数据)
# seed=-1 表 0% 满数据确定性对照; 子采样 seed=0..29; fisherz_rho=DS2 per-patient Fisher-z 加权 rho
# 病人内随机删, 保每病人>=min_pep; 只删整行不碰标签
method,kind,drop_frac,seed,fisherz_rho,n_pat
MT_IMPROVE_mean_prediction_rf,single,0.1,12,0.21192993675196564,9
MT_pTuneos,single,0.1,12,0.1330277287022867,9
MT_PRIME,single,0.1,12,0.21788717379110273,9
MT_ImmuneApp,single,0.1,12,0.2583258227948255,9
MT_deepHLApan,single,0.1,12,0.17147786155064915,9
pool_netAffneg_top20,single,0.1,12,0.2049006703015875,9
mean_rank,fusion,0.1,13,0.3573165753389416,9
geomean,fusion,0.1,13,0.3477081087168978,9
median,fusion,0.1,13,0.3632500205924447,9
powmean,fusion,0.1,13,0.32764302740913553,9
max,fusion,0.1,13,0.2118152268958564,9
min,fusion,0.1,13,0.23632947458851922,9
weighted_mean_rank,fusion,0.1,13,0.3617007085732735,9
softmax_rank,fusion,0.1,13,0.20823177286277994,9
stacking,fusion,0.1,13,0.1913299954159578,9
constrained,fusion,0.1,13,0.25565456664523634,9
ridge,fusion,0.1,13,0.25895044098775877,9
gbdt,fusion,0.1,13,0.07138462249785833,9
MT_PredIG,single,0.1,13,0.2005921731510814,9
MT_IMPROVE_mean_prediction_rf,single,0.1,13,0.25565456664523634,9
MT_pTuneos,single,0.1,13,0.13704627337557448,9
MT_PRIME,single,0.1,13,0.2831127545802329,9
MT_ImmuneApp,single,0.1,13,0.14919033341965973,9
MT_deepHLApan,single,0.1,13,0.28596129246390367,9
pool_netAffneg_top20,single,0.1,13,0.18440338571754275,9
mean_rank,fusion,0.1,14,0.33677961341913437,9
geomean,fusion,0.1,14,0.31860420539290124,9
median,fusion,0.1,14,0.3847387647269726,9
powmean,fusion,0.1,14,0.32385728895431687,9
max,fusion,0.1,14,0.26457584349625196,9
min,fusion,0.1,14,0.17560361826919527,9
weighted_mean_rank,fusion,0.1,14,0.3341843997891228,9
softmax_rank,fusion,0.1,14,0.2632789123751991,9
stacking,fusion,0.1,14,0.2405399319110007,9
constrained,fusion,0.1,14,0.2400032771417463,9
ridge,fusion,0.1,14,0.22938660621998297,9
gbdt,fusion,0.1,14,0.07737223278150705,9
MT_PredIG,single,0.1,14,0.23530064335138298,9
MT_IMPROVE_mean_prediction_rf,single,0.1,14,0.2500725498747848,9
MT_pTuneos,single,0.1,14,0.19673576471769863,9
MT_PRIME,single,0.1,14,0.22941299785311928,9
MT_ImmuneApp,single,0.1,14,0.1775700122779137,9
MT_deepHLApan,single,0.1,14,0.2679813448691258,9
pool_netAffneg_top20,single,0.1,14,0.20490752798415934,9
mean_rank,fusion,0.1,15,0.36367587863813766,9
geomean,fusion,0.1,15,0.3299746829907135,9
median,fusion,0.1,15,0.3955542167858456,9
powmean,fusion,0.1,15,0.3635408357090825,9
max,fusion,0.1,15,0.37514005908843545,9
min,fusion,0.1,15,0.2818996272370739,9
weighted_mean_rank,fusion,0.1,15,0.3666591030431357,9
softmax_rank,fusion,0.1,15,0.3646669802579696,9
stacking,fusion,0.1,15,0.26277926148702724,9
constrained,fusion,0.1,15,0.29175778215367765,9
ridge,fusion,0.1,15,0.28046360217503186,9
gbdt,fusion,0.1,15,-0.013541297470906039,9
MT_PredIG,single,0.1,15,0.30247691775915064,9
MT_IMPROVE_mean_prediction_rf,single,0.1,15,0.29955504729703597,9
MT_pTuneos,single,0.1,15,0.1436805597903867,9
MT_PRIME,single,0.1,15,0.3097426509852643,9
MT_ImmuneApp,single,0.1,15,0.1863692270924391,9
MT_deepHLApan,single,0.1,15,0.29523861828881215,9
pool_netAffneg_top20,single,0.1,15,0.2155754786362198,9
mean_rank,fusion,0.1,16,0.3294449373712979,9
geomean,fusion,0.1,16,0.35458660351685634,9
median,fusion,0.1,16,0.353067266739122,9
powmean,fusion,0.1,16,0.2960327674170569,9
max,fusion,0.1,16,0.2773526428030225,9
min,fusion,0.1,16,0.25483481270768005,9
weighted_mean_rank,fusion,0.1,16,0.33320768414910823,9
softmax_rank,fusion,0.1,16,0.27378578531869274,9
stacking,fusion,0.1,16,0.2842485726457081,9
constrained,fusion,0.1,16,0.2710276868877025,9
ridge,fusion,0.1,16,0.28579320627115457,9
gbdt,fusion,0.1,16,0.03070508126022975,9
MT_PredIG,single,0.1,16,0.2084103157240526,9
MT_IMPROVE_mean_prediction_rf,single,0.1,16,0.2750353765364854,9
MT_pTuneos,single,0.1,16,0.16286762629973814,9
MT_PRIME,single,0.1,16,0.2932164154440296,9
MT_ImmuneApp,single,0.1,16,0.13379701442910075,9
MT_deepHLApan,single,0.1,16,0.27248829515689293,9
pool_netAffneg_top20,single,0.1,16,0.211955962507064,9
mean_rank,fusion,0.1,17,0.37288774025312654,9
geomean,fusion,0.1,17,0.35853655623944813,9
median,fusion,0.1,17,0.37423473632136034,9
powmean,fusion,0.1,17,0.34673649427414066,9
max,fusion,0.1,17,0.27319696415549377,9
min,fusion,0.1,17,0.3073299444781686,9
weighted_mean_rank,fusion,0.1,17,0.3741638494460121,9
softmax_rank,fusion,0.1,17,0.24480466527289432,9
stacking,fusion,0.1,17,0.18441548129966204,9
constrained,fusion,0.1,17,0.27864654608808587,9
ridge,fusion,0.1,17,0.2552316702356879,9
gbdt,fusion,0.1,17,-0.03455695854891075,9
MT_PredIG,single,0.1,17,0.25643031509590825,9
MT_IMPROVE_mean_prediction_rf,single,0.1,17,0.28191568525251,9
MT_pTuneos,single,0.1,17,0.18233624478848576,9
MT_PRIME,single,0.1,17,0.2887660410073716,9
MT_ImmuneApp,single,0.1,17,0.21608717643886646,9
MT_deepHLApan,single,0.1,17,0.21579759720927247,9
pool_netAffneg_top20,single,0.1,17,0.20603687504807072,9
mean_rank,fusion,0.1,18,0.3029935239127156,9
geomean,fusion,0.1,18,0.3039106812815013,9
median,fusion,0.1,18,0.30992482002291427,9
powmean,fusion,0.1,18,0.28051281257709704,9
max,fusion,0.1,18,0.20269481812734264,9
min,fusion,0.1,18,0.2365715787265793,9
weighted_mean_rank,fusion,0.1,18,0.29936983527985045,9
softmax_rank,fusion,0.1,18,0.22074331812768128,9
stacking,fusion,0.1,18,0.15324765894271067,9
constrained,fusion,0.1,18,0.14012921415005414,9
ridge,fusion,0.1,18,0.18792391471592057,9
gbdt,fusion,0.1,18,-0.09760875058687356,9
MT_PredIG,single,0.1,18,0.22935091139558608,9
MT_IMPROVE_mean_prediction_rf,single,0.1,18,0.2216059510165527,9
MT_pTuneos,single,0.1,18,0.1618925529057855,9
MT_PRIME,single,0.1,18,0.22627098366589016,9
MT_ImmuneApp,single,0.1,18,0.15146901832883833,9
MT_deepHLApan,single,0.1,18,0.20503803844429871,9
pool_netAffneg_top20,single,0.1,18,0.16109476597174321,9
mean_rank,fusion,0.1,19,0.36583202043118523,9
geomean,fusion,0.1,19,0.3776729466886769,9
median,fusion,0.1,19,0.3871976634443437,9
powmean,fusion,0.1,19,0.3275321873327525,9
max,fusion,0.1,19,0.2786909766128368,9
min,fusion,0.1,19,0.28559764727308895,9
