sample_id,group,final_norm,is_monotone,max_rebound,K,trained_S,extrapolated,sim_k1,sim_k2,sim_k3,sim_k4,sim_k5,sim_k6,sim_k7,sim_k8,sim_k9,sim_k10,sim_k11,sim_k12,sim_k13,sim_k14,sim_k15,sim_k16
nih_14269,easy,108.30765533447266,True,0.0,16,16,False,0.7244905233383179,0.8283196687698364,0.8949049711227417,0.9406002163887024,0.94810551404953,0.9811383485794067,0.9880250096321106,0.9922888278961182,0.9941390156745911,0.9959003925323486,0.9966669082641602,0.998037576675415,0.998916745185852,0.9993933439254761,0.9998170137405396,1.0
nih_1799,hard,87.37409973144531,True,0.0,16,16,False,0.7213668823242188,0.8289103507995605,0.9332858324050903,0.9704575538635254,0.9754198789596558,0.9801974892616272,0.9841769337654114,0.9885099530220032,0.9908782839775085,0.9938473105430603,0.9952619671821594,0.9967848062515259,0.9983477592468262,0.9991871118545532,0.9997035264968872,1.0
nih_11930,hard,98.49066162109375,True,0.0,16,16,False,0.6766520738601685,0.7924149632453918,0.8985636830329895,0.9564948081970215,0.9760230779647827,0.9786699414253235,0.9815259575843811,0.9894979000091553,0.9917504787445068,0.9946528077125549,0.9961183667182922,0.9972659349441528,0.9986881017684937,0.9991801977157593,0.9997519254684448,1.0
nih_18879,hard,93.70893859863281,True,0.0,16,16,False,0.7108635902404785,0.828706681728363,0.85987389087677,0.9477676153182983,0.9509161114692688,0.9596781730651855,0.9887401461601257,0.9918864965438843,0.9943570494651794,0.9961467981338501,0.9970400333404541,0.9981087446212769,0.9990076422691345,0.9995845556259155,0.9998862743377686,1.0
nih_9318,medium,101.50443267822266,True,0.0,16,16,False,0.7090293169021606,0.8449537754058838,0.882325291633606,0.947826623916626,0.9756186008453369,0.9880774617195129,0.9911091327667236,0.9938926696777344,0.9949493408203125,0.9966052174568176,0.9978187084197998,0.9985313415527344,0.9991624355316162,0.9996263384819031,0.999883770942688,1.0
nih_19611,hard,94.73782348632812,True,0.0,16,16,False,0.8027725219726562,0.886803388595581,0.9484691619873047,0.973190426826477,0.9798945188522339,0.9826481342315674,0.9880625605583191,0.9910449981689453,0.9941022396087646,0.9956084489822388,0.9971904754638672,0.9984578490257263,0.9991998672485352,0.9995473027229309,0.9998081922531128,0.9999999403953552
nih_8682,medium,101.91829681396484,True,0.0,16,16,False,0.6630643010139465,0.8123193979263306,0.8980435132980347,0.927186906337738,0.9413397312164307,0.9723963737487793,0.9750137329101562,0.977728009223938,0.9925961494445801,0.9936205148696899,0.9968382716178894,0.997889518737793,0.9988871812820435,0.9994879961013794,0.9998621940612793,1.0
nih_17926,medium,101.46080017089844,True,0.0,16,16,False,0.7094682455062866,0.7819544076919556,0.9019392132759094,0.9297230839729309,0.945549488067627,0.9636889696121216,0.9654576778411865,0.9825159907341003,0.9845688343048096,0.9855328798294067,0.9869138598442078,0.9972855448722839,0.9986009001731873,0.9992730617523193,0.9997882843017578,1.0
nih_22868,medium,102.5379638671875,True,0.0,16,16,False,0.6851018071174622,0.750697135925293,0.8766210079193115,0.9100346565246582,0.9392378330230713,0.9690219163894653,0.9754917621612549,0.9916174411773682,0.9935029745101929,0.994960367679596,0.9969183206558228,0.9979503750801086,0.9987928867340088,0.9995422959327698,0.9997966885566711,1.0
nih_24880,easy,109.89910888671875,True,0.0,16,16,False,0.7836716771125793,0.8617163896560669,0.9162589907646179,0.9505832195281982,0.9676653742790222,0.9842725396156311,0.988381564617157,0.9911102056503296,0.9954310655593872,0.9971272945404053,0.9981542825698853,0.9988998174667358,0.9992361664772034,0.9995445013046265,0.9998088479042053,1.0
nih_2794,medium,106.68970489501953,True,0.0,16,16,False,0.7532347440719604,0.82857745885849,0.8910110592842102,0.935638964176178,0.9611803293228149,0.9708971977233887,0.9771515727043152,0.9783594608306885,0.9945975542068481,0.9960329532623291,0.9966079592704773,0.9976168870925903,0.9988095164299011,0.9993338584899902,0.9997732043266296,1.0
nih_17730,medium,105.71752166748047,True,0.0,16,16,False,0.7711634635925293,0.8920781016349792,0.925663948059082,0.9752159118652344,0.9785714745521545,0.9820033311843872,0.9895655512809753,0.9937677383422852,0.9952590465545654,0.9967726469039917,0.9978545308113098,0.9985739588737488,0.9991172552108765,0.999616265296936,0.9998598098754883,0.9999999403953552
nih_23459,medium,104.43125915527344,True,0.0,16,16,False,0.7484606504440308,0.8673578500747681,0.9168474078178406,0.9493930339813232,0.9854167103767395,0.9919063448905945,0.9938299655914307,0.9954190850257874,0.996383786201477,0.9973495602607727,0.9982765316963196,0.9989955425262451,0.9994180202484131,0.9997026920318604,0.9998829364776611,1.0
nih_6173,medium,104.83033752441406,True,0.0,16,16,False,0.7517508268356323,0.8399722576141357,0.9178891181945801,0.921477735042572,0.9577499628067017,0.9799907207489014,0.990084171295166,0.9933196902275085,0.9946515560150146,0.9965441823005676,0.9974057674407959,0.9984167218208313,0.9988240003585815,0.9993845820426941,0.9998059272766113,1.0
nih_11147,easy,110.06879425048828,True,0.0,16,16,False,0.8124630451202393,0.8972358107566833,0.9510802030563354,0.9575284719467163,0.9694671630859375,0.9829989671707153,0.9918497800827026,0.9930195808410645,0.994417667388916,0.9966357946395874,0.9983000755310059,0.9988016486167908,0.999312698841095,0.999659538269043,0.9998459219932556,0.9999999403953552
nih_3117,medium,100.8142318725586,True,0.0,16,16,False,0.6605191230773926,0.8386169075965881,0.8938817977905273,0.9519938826560974,0.9626845121383667,0.9801740050315857,0.9846742153167725,0.9877678155899048,0.9913145303726196,0.9938558340072632,0.9956483840942383,0.9973944425582886,0.9983874559402466,0.9994088411331177,0.9998041391372681,1.0
nih_25267,hard,96.53597259521484,True,0.0,16,16,False,0.62599778175354,0.8072385787963867,0.9014661312103271,0.9416459202766418,0.9538074731826782,0.9792370796203613,0.983774721622467,0.9851303696632385,0.9910498857498169,0.9926375150680542,0.9939184188842773,0.9946516752243042,0.9954191446304321,0.999276876449585,0.9997680187225342,0.9999998807907104
nih_8602,hard,95.33737182617188,True,0.0,16,16,False,0.6072144508361816,0.7525150775909424,0.8669891357421875,0.9431142210960388,0.9533429741859436,0.9857736825942993,0.990195631980896,0.9915423393249512,0.9940207600593567,0.9962784051895142,0.9971679449081421,0.9984161853790283,0.9988522529602051,0.9993722438812256,0.9998214244842529,1.0
nih_6039,medium,98.73814392089844,True,0.0,16,16,False,0.6893374919891357,0.7993743419647217,0.8843338489532471,0.9292863607406616,0.9579256176948547,0.9705231189727783,0.9860248565673828,0.9888413548469543,0.99019855260849,0.9939175248146057,0.9946773052215576,0.9961999654769897,0.99847412109375,0.9992316961288452,0.9997462034225464,1.0
nih_4116,medium,99.12902069091797,True,0.0,16,16,False,0.6874415278434753,0.8170065879821777,0.9174121022224426,0.9734169244766235,0.9817401170730591,0.9856849312782288,0.9895133972167969,0.9924756288528442,0.9950215816497803,0.9962847232818604,0.9974101781845093,0.998518705368042,0.9991137981414795,0.9995089173316956,0.999868631362915,1.0
nih_2577,hard,98.17332458496094,True,0.0,16,16,False,0.6934397220611572,0.81814044713974,0.9200598001480103,0.9695050120353699,0.9749897718429565,0.9788613319396973,0.9840063452720642,0.9860110878944397,0.992282509803772,0.9950865507125854,0.996140718460083,0.997492253780365,0.9987204074859619,0.9993752241134644,0.9998776316642761,0.9999999403953552
nih_13108,hard,93.54804992675781,True,0.0,16,16,False,0.6164698600769043,0.7965877056121826,0.908624529838562,0.9508970975875854,0.9547308683395386,0.9665557146072388,0.9704766869544983,0.9751561880111694,0.9825502634048462,0.9903165102005005,0.9915818572044373,0.9926093816757202,0.9987791776657104,0.9993637204170227,0.9997900724411011,1.0
nih_17738,hard,98.12964630126953,True,0.0,16,16,False,0.5341067314147949,0.8137143850326538,0.880180299282074,0.9327083230018616,0.9689958095550537,0.9832302331924438,0.9898973703384399,0.9915785789489746,0.9960014820098877,0.9968162178993225,0.9977823495864868,0.9983704090118408,0.9989490509033203,0.9994919300079346,0.9997739791870117,0.9999998807907104
nih_13784,medium,100.28195190429688,True,0.0,16,16,False,0.7370291948318481,0.856331467628479,0.9005434513092041,0.9422383308410645,0.9547345638275146,0.967839777469635,0.9726282358169556,0.985098123550415,0.9889554977416992,0.9923202991485596,0.9946249723434448,0.9968230724334717,0.9980762600898743,0.9991914629936218,0.9997674822807312,0.9999999403953552
