tau,coverage,risk,n_kept,melanoma_miss_rate,method,key
0.02369082280524019,0.88,0.6818181818181818,44,0.1,Deep Ensemble (3-seed),ensemble
0.02441084854038512,0.9,0.6666666666666666,45,0.1,Deep Ensemble (3-seed),ensemble
0.02630447419622947,0.9,0.6666666666666666,45,0.1,Deep Ensemble (3-seed),ensemble
0.027904026607034504,0.92,0.6739130434782609,46,0.1,Deep Ensemble (3-seed),ensemble
0.027996453637013165,0.92,0.6739130434782609,46,0.1,Deep Ensemble (3-seed),ensemble
0.029961165225190448,0.94,0.6808510638297872,47,0.1,Deep Ensemble (3-seed),ensemble
0.04534391614712581,0.94,0.6808510638297872,47,0.1,Deep Ensemble (3-seed),ensemble
0.05985751055621664,0.96,0.6875,48,0.1,Deep Ensemble (3-seed),ensemble
0.06459309419580628,0.96,0.6875,48,0.1,Deep Ensemble (3-seed),ensemble
0.06920752024664509,0.98,0.673469387755102,49,0.1,Deep Ensemble (3-seed),ensemble
0.07097474296184027,0.98,0.673469387755102,49,0.1,Deep Ensemble (3-seed),ensemble
0.07274196567703546,1.0,0.66,50,0.0,Deep Ensemble (3-seed),ensemble
0.0037595629692077637,0.02,0.0,1,0.9,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.0037770867347717285,0.02,0.0,1,0.9,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.0037946105003356934,0.02,0.0,1,0.9,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.003863876461982727,0.04,0.5,2,0.9,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.003935344219207763,0.04,0.5,2,0.9,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.004036852717399597,0.06,0.6666666666666666,3,0.9,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.004141031503677368,0.06,0.6666666666666666,3,0.9,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.004266534447670031,0.08,0.75,4,0.9,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.004395012855529888,0.08,0.75,4,0.9,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.004424224495887822,0.1,0.6,5,0.8,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.004434067010879528,0.1,0.6,5,0.8,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.004441980123519897,0.12,0.6666666666666666,6,0.8,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.004449398517608643,0.12,0.6666666666666666,6,0.8,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.004452340006828267,0.14,0.5714285714285714,7,0.7,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.00445382952690115,0.14,0.5714285714285714,7,0.7,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.004475972056388744,0.16,0.625,8,0.7,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.004506375789642223,0.16,0.625,8,0.7,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.00451768040657036,0.18,0.5555555555555556,9,0.6,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.00451972484588621,0.18,0.5555555555555556,9,0.6,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.004526813626289368,0.2,0.5,10,0.5,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.004536831378936767,0.2,0.5,10,0.5,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.0045645666122436845,0.22,0.5454545454545454,11,0.5,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.0046045207977295785,0.22,0.5454545454545454,11,0.5,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.004627721905708394,0.24,0.5833333333333334,12,0.5,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.0046372723579407,0.24,0.5833333333333334,12,0.5,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.004658713936805725,0.26,0.6153846153846154,13,0.5,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.004691570997238159,0.26,0.6153846153846154,13,0.5,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.004757453203201294,0.28,0.5714285714285714,14,0.4,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
