sev,target,qbar_route,correct_deg,correct_enh,qband
mild,0,0.4662269651889801,1,1,low
mild,0,0.5357863306999207,1,1,mid
mild,0,0.509154736995697,1,1,mid
mild,0,0.6648239493370056,1,1,high
mild,0,0.5045598745346069,1,1,mid
mild,0,0.5882228016853333,1,1,high
mild,0,0.5878135561943054,1,1,high
mild,0,0.5327306985855103,1,1,mid
mild,0,0.7159622311592102,1,1,high
mild,0,0.505862832069397,1,1,mid
mild,0,0.5795039534568787,1,1,high
mild,0,0.5898991823196411,1,1,high
mild,0,0.5312063097953796,0,1,mid
mild,0,0.3339359760284424,1,1,low
mild,0,0.5070207715034485,1,1,mid
mild,0,0.6523369550704956,1,1,high
mild,0,0.5215957760810852,1,1,mid
mild,0,0.5340009331703186,1,1,mid
mild,0,0.5224108695983887,0,0,mid
mild,1,0.47911760210990906,1,1,low
mild,0,0.521822452545166,1,1,mid
mild,0,0.588537871837616,0,1,high
mild,0,0.4933559000492096,1,1,low
mild,0,0.6058263778686523,0,0,high
mild,0,0.6161968111991882,1,1,high
mild,0,0.5433667898178101,1,1,mid
mild,0,0.5217623710632324,1,1,mid
mild,0,0.5647122263908386,1,1,high
mild,0,0.5784531831741333,1,1,high
mild,0,0.45846444368362427,1,1,low
mild,0,0.5262450575828552,1,1,mid
mild,0,0.5089742541313171,1,1,mid
mild,0,0.5473088026046753,1,1,mid
mild,0,0.5345274209976196,1,1,mid
mild,0,0.5273618102073669,1,1,mid
mild,0,0.49427056312561035,1,1,low
mild,0,0.5035252571105957,1,1,mid
mild,0,0.5296679735183716,1,1,mid
mild,0,0.5281856060028076,1,1,mid
mild,0,0.5069612860679626,1,1,mid
mild,0,0.3075222969055176,0,0,low
mild,0,0.6399044394493103,0,1,high
mild,0,0.796677827835083,1,1,high
mild,0,0.5428306460380554,1,1,mid
mild,0,0.5603818893432617,1,1,high
mild,0,0.49838677048683167,1,1,mid
mild,0,0.6436876654624939,1,1,high
mild,0,0.5891121625900269,1,1,high
mild,0,0.5509511232376099,1,1,high
mild,0,0.492943674325943,1,1,low
mild,0,0.4881657660007477,1,1,low
mild,0,0.5024647116661072,1,1,mid
mild,0,0.5152193903923035,0,0,mid
mild,0,0.5360491275787354,0,1,mid
mild,0,0.5530447363853455,1,1,high
mild,0,0.5676717162132263,1,1,high
mild,0,0.7218494415283203,1,1,high
mild,0,0.5503930449485779,0,0,high
mild,0,0.46490317583084106,1,1,low
mild,0,0.5526502132415771,1,1,high
mild,0,0.5095683932304382,1,1,mid
mild,0,0.6076774597167969,1,1,high
mild,0,0.5047820806503296,1,1,mid
mild,0,0.6125535368919373,0,1,high
mild,0,0.5657593607902527,0,0,high
mild,0,0.48432451486587524,1,1,low
mild,0,0.49194440245628357,1,1,low
mild,0,0.5496892929077148,1,1,high
