baseline,label,n,n_pos,n_lq,n_hq,qbar_mean,qbar_median,ece_10bins,ece_15bins,ece_lq_10,ece_hq_10,qcdi_10,ece_lq_15,ece_hq_15,qcdi_15,entropy_vs_qbar_rho,entropy_vs_qbar_rho_p
MC Dropout,III-IV,406,132,203,203,0.5310901970443349,0.53405,0.6636565063387303,0.6636565063387303,0.6933157949024821,0.6339972177749784,0.05931857712750366,0.6933157949024821,0.6339972177749784,0.05931857712750366,-0.05143173421048473,0.30122504719022447
MC Dropout,V-VI,136,43,68,68,0.4736258823529411,0.47367999999999993,0.6781866383903167,0.6781866383903167,0.7296473418965059,0.6267259348841274,0.10292140701237851,0.7296473418965059,0.6267259348841274,0.10292140701237851,-0.006686234776774443,0.9384204002641762
MC Dropout,All (known),1432,465,716,716,0.5466759497206704,0.55532,0.6648936708712712,0.6631102981514105,0.7189052064159063,0.6073153898869148,0.11158981652899147,0.7189052064159063,0.6073153898869148,0.11158981652899147,-0.10331858655253752,8.972071205037972e-05
MC Dropout,All (incl. unknown),1500,490,750,750,0.5427768666666667,0.5521400000000001,0.6631685095628103,0.6614659830729167,0.7114256558418274,0.6115063103040059,0.09991934553782145,0.7114256558418274,0.6115063103040059,0.09991934553782145,-0.09963038336978168,0.0001110567990636795
Focal+LS,I,386,119,193,193,0.5688023316062176,0.5900799999999999,0.429842154905586,0.42984215490558597,0.47834098369964057,0.37538658738753955,0.10295439631210102,0.47442820776311845,0.3753865873875396,0.09904162037557884,-0.09583237461637742,0.059967499924912564
Focal+LS,II,504,171,252,252,0.5619970634920635,0.5751,0.39585765403887585,0.3958576540388758,0.4611068862298178,0.3306084218479338,0.130498464381884,0.4611068862298178,0.3306084218479338,0.130498464381884,-0.09096304060871135,0.041223192615776665
Focal+LS,III,252,80,126,126,0.5424088888888888,0.55083,0.404887637921742,0.404887637921742,0.463001377052731,0.3467738987907531,0.11622747826197788,0.463001377052731,0.34677389879075304,0.11622747826197793,-0.04839366419134305,0.4443581919398055
Focal+LS,IV,154,52,77,77,0.5125687012987012,0.51762,0.3787066266908274,0.3787066266908274,0.4138876563542849,0.3364969801593136,0.07739067619497131,0.41388765635428487,0.3364969801593137,0.0773906761949712,-0.06995243845338722,0.38864846086837834
Focal+LS,V,93,29,46,47,0.4692864516129032,0.4761,0.4120929253998623,0.4134739111828547,0.4550650676955348,0.3738393136795531,0.0812257540159817,0.4550650676955347,0.3765719025693042,0.0784931651262305,-0.03455646199341271,0.7422754410396968
Focal+LS,VI,43,14,21,22,0.4830111627906977,0.46982,0.4240497808123744,0.39368748387625047,0.5079218631698972,0.343990065834739,0.16393179733515817,0.47679508016223,0.3143575056032701,0.1624375745589599,-0.20854726668680157,0.17958004116281145
Focal+LS,I-II,890,290,445,445,0.5649485617977529,0.5802099999999999,0.4105969993585951,0.41059699935859506,0.4672061747379518,0.35010415650485605,0.11710201823309574,0.4692777687244201,0.35191622999277006,0.11736153873165006,-0.09545700037202294,0.004368285715428053
Focal+LS,III-IV,406,132,203,203,0.5310901970443349,0.53405,0.39495690952380896,0.3949569095238089,0.4229838592665536,0.3669299597810642,0.05605389948548939,0.4229838592665536,0.3669299597810642,0.05605389948548939,-0.07895186887987891,0.11219330597393597
Focal+LS,V-VI,136,43,68,68,0.4736258823529411,0.47367999999999993,0.4158734017435242,0.4168177523157176,0.4600787259200041,0.3716680775670444,0.0884106483529597,0.4600787259200041,0.3735567787114312,0.08652194720857287,-0.08000143123847332,0.35452784672189874
Focal+LS,All (known),1432,465,716,716,0.5466759497206704,0.55532,0.4067270972625503,0.4067270972625503,0.454885724952767,0.3572945052019045,0.09759121975086255,0.45615968932319617,0.35729450520190453,0.09886518412129164,-0.11290573280200131,1.8478654248611536e-05
Focal+LS,All (incl. unknown),1500,490,750,750,0.5427768666666667,0.5521400000000001,0.40506753806273144,0.40506753806273144,0.4480645592212677,0.3608543055852254,0.08721025363604229,0.4492807705402374,0.3608543055852254,0.088426464955012,-0.11605286413699184,6.600055834174282e-06
