bb_idx,MT_Seq2Neo
907,0.554817
908,0.751443
909,0.718894
910,0.850359
911,0.851861
912,0.578729
913,0.672402
914,0.81128
915,0.767981
916,0.894781
917,0.888249
918,0.741448
919,0.763409
920,0.877581
921,0.855654
922,0.936469
923,0.934435
924,0.378468
925,0.664285
926,0.833983
927,0.786352
928,0.933332
929,0.924876
930,0.345414
931,0.677354
932,0.839417
933,0.791863
934,0.936156
935,0.93508
936,0.293243
937,0.706075
938,0.843605
939,0.787438
940,0.924799
941,0.915776
942,0.391224
943,0.723922
944,0.87038
945,0.839183
946,0.943203
947,0.929997
948,0.809886
949,0.824247
950,0.915774
951,0.903406
952,0.955496
953,0.950577
954,0.759502
955,0.763038
956,0.90064
957,0.860212
958,0.940776
959,0.934625
960,0.643926
961,0.720252
962,0.851002
963,0.823432
964,0.92033
965,0.913161
966,0.755555
967,0.785437
968,0.897375
969,0.872307
970,0.943416
971,0.937491
972,0.667348
973,0.740355
974,0.839114
975,0.80676
976,0.927639
977,0.921844
978,0.700992
979,0.711949
980,0.863476
981,0.828081
982,0.934885
983,0.92862
984,0.616732
985,0.651061
986,0.815961
987,0.788766
988,0.903083
989,0.888518
990,0.594433
991,0.605485
992,0.798941
993,0.777234
994,0.883919
995,0.870511
996,0.446467
997,0.57688
998,0.754101
999,0.700179
1000,0.857797
1001,0.849958
1002,0.379804
1003,0.564531
1004,0.771998
1005,0.722525
1006,0.883725
1007,0.865142
1008,0.373894
1009,0.635367
1010,0.779512
1011,0.714616
1012,0.907316
1013,0.89783
1014,0.327506
1015,0.63992
1016,0.788366
1017,0.727833
1018,0.906752
1019,0.88938
1020,0.455633
1021,0.663567
1022,0.856444
1023,0.798977
1024,0.919714
1025,0.905441
1026,0.432934
1027,0.592841
1028,0.769445
1029,0.74446
1030,0.862057
1031,0.835466
1032,0.534219
1033,0.585644
1034,0.799527
1035,0.727962
1036,0.895996
1037,0.892435
1038,0.73399
1039,0.761107
1040,0.906329
1041,0.896947
1042,0.964654
1043,0.958774
1044,0.343233
1045,0.72329
1046,0.831568
1047,0.76768
1048,0.929661
1049,0.923575
1050,0.727812
1051,0.766135
1052,0.89369
1053,0.870324
1054,0.956707
1055,0.951476
1056,0.562207
1057,0.742967
1058,0.881841
1059,0.841207
1060,0.945104
1061,0.929134
1062,0.162112
1063,0.620324
1064,0.701473
1065,0.449035
1066,0.879681
1067,0.874439
1068,0.603427
1069,0.767549
1070,0.889104
1071,0.864201
1072,0.95201
1073,0.949216
1074,0.255607
1075,0.643349
1076,0.789184
1077,0.74566
1078,0.926587
1079,0.908807
1080,0.435437
1081,0.642413
1082,0.775819
1083,0.73493
1084,0.851142
1085,0.839962
1086,0.475623
1087,0.635699
1088,0.813521
1089,0.749872
1090,0.882437
1091,0.855174
1092,0.709896
1093,0.840326
1094,0.93709
1095,0.894043
1096,0.977974
1097,0.974386
1098,0.772862
1099,0.845882
1100,0.966917
