bb_idx,MT_Repitope,WT_Repitope
498,0.24424,0.2232
499,0.24424,0.2232
500,0.24424,0.2232
501,0.24424,0.2232
502,0.24424,0.2232
503,0.24424,0.2232
504,0.24304,0.20928
505,0.24304,0.20928
506,0.24304,0.20928
507,0.24304,0.20928
508,0.24304,0.20928
509,0.24304,0.20928
510,0.1984,0.14584
511,0.1984,0.14584
512,0.1984,0.14584
513,0.1984,0.14584
514,0.1984,0.14584
515,0.1984,0.14584
516,0.24104,0.13112
517,0.24104,0.13112
518,0.24104,0.13112
519,0.24104,0.13112
520,0.24104,0.13112
521,0.24104,0.13112
522,0.29008,0.21064
523,0.29008,0.21064
524,0.29008,0.21064
525,0.29008,0.21064
526,0.29008,0.21064
527,0.29008,0.21064
528,0.2796,0.24944
529,0.2796,0.24944
530,0.2796,0.24944
531,0.2796,0.24944
532,0.2796,0.24944
533,0.2796,0.24944
534,0.31584,0.266
535,0.31584,0.266
536,0.31584,0.266
537,0.31584,0.266
538,0.31584,0.266
539,0.31584,0.266
540,0.39784,0.37416
541,0.39784,0.37416
542,0.39784,0.37416
543,0.39784,0.37416
544,0.39784,0.37416
545,0.39784,0.37416
546,0.40232,0.34608
547,0.40232,0.34608
548,0.40232,0.34608
549,0.40232,0.34608
550,0.40232,0.34608
551,0.40232,0.34608
552,0.37584,0.4024
553,0.37584,0.4024
554,0.37584,0.4024
555,0.37584,0.4024
556,0.37584,0.4024
557,0.37584,0.4024
558,0.38384,0.34424
559,0.38384,0.34424
560,0.38384,0.34424
561,0.38384,0.34424
562,0.38384,0.34424
563,0.38384,0.34424
564,0.36416,0.35384
565,0.36416,0.35384
566,0.36416,0.35384
567,0.36416,0.35384
568,0.36416,0.35384
569,0.36416,0.35384
570,0.41104,0.37952
571,0.41104,0.37952
572,0.41104,0.37952
573,0.41104,0.37952
574,0.41104,0.37952
575,0.41104,0.37952
576,0.4248,0.36936
577,0.4248,0.36936
578,0.4248,0.36936
579,0.4248,0.36936
580,0.4248,0.36936
581,0.4248,0.36936
582,0.50424,0.4756
583,0.50424,0.4756
584,0.50424,0.4756
585,0.50424,0.4756
586,0.50424,0.4756
587,0.50424,0.4756
588,0.38552,0.40856
589,0.38552,0.40856
590,0.38552,0.40856
591,0.38552,0.40856
592,0.38552,0.40856
593,0.38552,0.40856
594,0.39248,0.4056
595,0.39248,0.4056
596,0.39248,0.4056
597,0.39248,0.4056
598,0.39248,0.4056
599,0.39248,0.4056
600,0.39448,0.43112
601,0.39448,0.43112
602,0.39448,0.43112
603,0.39448,0.43112
604,0.39448,0.43112
605,0.39448,0.43112
606,0.41888,0.47608
607,0.41888,0.47608
608,0.41888,0.47608
609,0.41888,0.47608
610,0.41888,0.47608
611,0.41888,0.47608
612,0.37032,0.46992
613,0.37032,0.46992
614,0.37032,0.46992
615,0.37032,0.46992
616,0.37032,0.46992
617,0.37032,0.46992
618,0.39952,0.46288
619,0.39952,0.46288
620,0.39952,0.46288
621,0.39952,0.46288
622,0.39952,0.46288
623,0.39952,0.46288
624,0.3744,0.46144
625,0.3744,0.46144
626,0.3744,0.46144
627,0.3744,0.46144
628,0.3744,0.46144
629,0.3744,0.46144
630,0.39472,0.46408
631,0.39472,0.46408
632,0.39472,0.46408
633,0.39472,0.46408
634,0.39472,0.46408
635,0.39472,0.46408
636,0.37368,0.3532
637,0.37368,0.3532
638,0.37368,0.3532
639,0.37368,0.3532
640,0.37368,0.3532
641,0.37368,0.3532
642,0.24664,0.24904
643,0.24664,0.24904
644,0.24664,0.24904
645,0.24664,0.24904
646,0.24664,0.24904
647,0.24664,0.24904
648,0.34688,0.23896
649,0.34688,0.23896
650,0.34688,0.23896
651,0.34688,0.23896
