bb_idx,MT_DeepNetBim,WT_DeepNetBim
511,0.06292772,0.0632478
512,0.06279901,0.06311846
513,0.062812656,0.0631322
514,1.0,1.0
515,1.0,1.0
516,0.14788118,0.0036620498
517,0.14788225,0.0036620498
518,0.14785811,0.0036620796
519,0.14786068,0.0036620796
520,1.0,1.0
521,1.0,1.0
522,0.004218191,0.007018894
523,0.0042180717,0.007018894
524,0.0042178333,0.0070180297
525,0.0042178333,0.007018149
526,1.0,1.0
527,1.0,1.0
528,0.006305635,0.9404874
529,0.006305635,0.96157324
530,0.006305039,0.9126135
531,0.0063050687,0.9511032
532,1.0,1.0
533,1.0,1.0
534,0.0334045,0.008184493
535,0.0334045,0.008184493
536,0.03340432,0.00818342
537,0.03340432,0.008183628
538,1.0,1.0
539,1.0,1.0
540,0.092972964,0.09332156
541,0.09297374,0.09332231
542,0.09295732,0.093305856
543,0.092959076,0.093307614
544,1.0,1.0
545,1.0,1.0
546,0.11451203,0.0935621
547,0.12271747,0.09356284
548,0.11859092,0.09354669
549,0.122876585,0.09354842
550,1.0,1.0
551,1.0,1.0
552,0.10667497,0.9083972
553,0.114117116,0.9401538
554,0.11050996,0.86338204
555,0.11421454,0.92322636
556,1.0,1.0
557,1.0,1.0
558,0.022856414,0.022856444
559,0.022856414,0.022856444
560,0.022856265,0.022856325
561,0.022856295,0.022856325
562,1.0,1.0
563,1.0,1.0
564,0.0021725297,0.1149424
565,0.0021725297,0.12317437
566,0.0021725297,0.11903456
567,0.0021725297,0.12333399
568,1.0,1.0
569,1.0,1.0
570,0.042445242,0.91269827
571,0.042447507,0.9424609
572,0.042371362,0.8759247
573,0.04237953,0.92465603
574,1.0,1.0
575,1.0,1.0
576,0.059437126,0.119319946
577,0.06006825,0.11932084
578,0.04207635,0.11930084
579,0.04380107,0.11930299
580,1.0,1.0
581,1.0,1.0
582,0.081530005,0.081530064
583,0.08153072,0.08153078
584,0.08151513,0.08151522
585,0.0815168,0.08151689
586,1.0,1.0
587,1.0,1.0
588,0.09088454,0.015019327
589,0.097345114,0.0151721835
590,0.09421179,0.008360803
591,0.09742984,0.008944869
592,1.0,1.0
593,1.0,1.0
594,0.92641866,0.92642856
595,0.9522542,0.9522608
596,0.88947237,0.8894868
597,0.9385974,0.9386058
598,1.0,1.0
599,1.0,1.0
600,0.1164006,0.116401166
601,0.11640152,0.11640206
602,0.116381526,0.11638212
603,0.11638376,0.11638427
604,1.0,1.0
605,1.0,1.0
606,0.92666847,0.92666876
607,0.9524027,0.95240283
608,0.8930581,0.89305854
609,0.93959093,0.93959117
610,1.0,1.0
611,1.0,1.0
612,0.9370276,0.93702936
613,0.9592844,0.9592856
614,0.9080354,0.908038
615,0.9483105,0.94831204
616,1.0,1.0
617,1.0,1.0
618,0.043842643,0.043842703
619,0.04384896,0.04384899
620,0.043627948,0.043628037
621,0.043651372,0.04365146
622,1.0,1.0
623,1.0,1.0
624,0.049610168,0.049611956
625,0.049613833,0.04961562
626,0.049484074,0.049485862
627,0.049497843,0.0494996
628,1.0,1.0
629,1.0,1.0
630,0.0031743348,0.006636888
631,0.0031743348,0.006636888
632,0.0031743348,0.006636083
633,0.0031743348,0.006636113
634,1.0,1.0
