bb_idx,MT_TSCAPE
1126,0.420085
1846,0.420085
363,0.109305
364,0.091603
365,0.599940
1129,0.599940
1849,0.599940
366,0.552740
1130,0.552740
1850,0.552740
367,0.115688
368,0.090970
369,0.610979
1133,0.610979
1853,0.610979
370,0.581346
1134,0.581346
1854,0.581346
371,0.140200
372,0.121594
373,0.367242
374,0.375710
375,0.054425
376,0.041240
377,0.280326
378,0.264404
379,0.052435
380,0.042005
381,0.312048
382,0.354071
383,0.068897
384,0.050706
385,0.489016
386,0.281450
387,0.101573
388,0.090552
389,0.363728
1145,0.363728
1857,0.363728
390,0.320585
1146,0.320585
1858,0.320585
391,0.083526
392,0.100263
393,0.313129
1149,0.313129
1861,0.313129
394,0.252315
1150,0.252315
1862,0.252315
395,0.064408
396,0.044520
397,0.310319
1153,0.310319
1865,0.310319
398,0.344499
1154,0.344499
1866,0.344499
399,0.055623
400,0.043954
401,0.639891
1157,0.639891
1869,0.639891
402,0.416534
1158,0.416534
1870,0.416534
403,0.149198
404,0.154122
405,0.274813
1161,0.274813
1873,0.274813
406,0.226470
1162,0.226470
1874,0.226470
407,0.053766
408,0.042734
409,0.303249
1165,0.303249
1877,0.303249
410,0.279449
1166,0.279449
1878,0.279449
411,0.040886
412,0.027820
413,0.254120
1169,0.254120
1881,0.254120
414,0.231089
1170,0.231089
1882,0.231089
415,0.054225
416,0.030599
417,0.394235
1173,0.394235
1885,0.394235
418,0.294421
1174,0.294421
1886,0.294421
419,0.074924
420,0.066627
421,0.400378
1177,0.400378
1889,0.400378
422,0.222596
1178,0.222596
1890,0.222596
423,0.053482
424,0.051519
425,0.544544
1181,0.544544
1893,0.544544
426,0.417271
1182,0.417271
1894,0.417271
427,0.115100
428,0.087279
429,0.419200
1185,0.419200
1897,0.419200
430,0.379787
1186,0.379787
1898,0.379787
431,0.070220
432,0.062279
433,0.591526
434,0.553596
435,0.124813
436,0.113662
437,0.356815
438,0.351631
439,0.054193
440,0.047817
441,0.246929
442,0.249253
443,0.050610
444,0.038018
445,0.485691
446,0.408609
447,0.097111
448,0.079123
449,0.298047
1197,0.298047
1901,0.298047
450,0.237612
1198,0.237612
1902,0.237612
451,0.053073
452,0.058045
453,0.288398
1201,0.288398
1905,0.288398
454,0.240899
1202,0.240899
1906,0.240899
455,0.065765
456,0.039736
457,0.337044
1205,0.337044
1909,0.337044
458,0.396378
1206,0.396378
1910,0.396378
459,0.070155
460,0.050455
461,0.630350
1209,0.630350
1913,0.630350
462,0.435579
1210,0.435579
1914,0.435579
463,0.160330
464,0.155942
465,0.291536
1213,0.291536
1917,0.291536
466,0.227596
1214,0.227596
1918,0.227596
467,0.060224
468,0.041267
469,0.335325
1217,0.335325
1921,0.335325
470,0.268986
1218,0.268986
1922,0.268986
471,0.049715
472,0.036917
473,0.170438
1221,0.170438
1925,0.170438
474,0.149592
1222,0.149592
1926,0.149592
475,0.042263
476,0.022170
477,0.337289
1225,0.337289
1929,0.337289
478,0.270357
1226,0.270357
1930,0.270357
479,0.062637
480,0.044100
481,0.345277
1229,0.345277
1933,0.345277
482,0.239575
1230,0.239575
1934,0.239575
483,0.050533
484,0.044583
485,0.554648
1233,0.554648
1937,0.554648
486,0.412308
1234,0.412308
1938,0.412308
487,0.130029
488,0.100817
489,0.332818
490,0.335626
491,0.062574
492,0.052812
493,0.628951
494,0.611248
495,0.156245
496,0.131673
497,0.340113
498,0.328564
499,0.051642
500,0.045652
501,0.272164
502,0.261486
503,0.059140
504,0.046359
505,0.304420
1245,0.304420
1941,0.304420
506,0.261747
1246,0.261747
1942,0.261747
507,0.061438
508,0.067209
509,0.279321
1249,0.279321
1945,0.279321
510,0.245217
1250,0.245217
1946,0.245217
511,0.063453
512,0.037874
513,0.358147
1253,0.358147
1949,0.358147
514,0.393643
1254,0.393643
1950,0.393643
515,0.066466
516,0.050765
517,0.601118
1257,0.601118
1953,0.601118
518,0.368329
1258,0.368329
1954,0.368329
519,0.147971
520,0.132910
521,0.297383
1261,0.297383
1957,0.297383
522,0.236029
1262,0.236029
1958,0.236029
523,0.070139
524,0.051012
525,0.353067
1265,0.353067
1961,0.353067
526,0.307825
1266,0.307825
1962,0.307825
527,0.056842
528,0.040281
529,0.204826
1269,0.204826
1965,0.204826
530,0.170065
1270,0.170065
1966,0.170065
531,0.049504
532,0.024476
533,0.318427
1273,0.318427
1969,0.318427
534,0.290960
1274,0.290960
1970,0.290960
535,0.068267
536,0.049039
537,0.289173
1277,0.289173
1973,0.289173
538,0.203019
1278,0.203019
1974,0.203019
539,0.042473
540,0.035686
541,0.553986
542,0.399454
543,0.134820
544,0.100909
545,0.374048
546,0.345465
547,0.064528
548,0.055180
549,0.644617
550,0.617065
551,0.176305
552,0.142825
553,0.390100
554,0.380660
555,0.064311
556,0.050271
557,0.312727
1289,0.312727
1977,0.312727
558,0.268551
1290,0.268551
1978,0.268551
559,0.074242
560,0.078126
561,0.276652
1293,0.276652
1981,0.276652
562,0.259238
1294,0.259238
1982,0.259238
563,0.068399
564,0.040805
565,0.353996
1297,0.353996
1985,0.353996
566,0.364738
1298,0.364738
1986,0.364738
567,0.069265
568,0.056754
569,0.616728
1301,0.616728
1989,0.616728
570,0.401198
1302,0.401198
1990,0.401198
571,0.147168
572,0.136825
573,0.274135
