bb_idx,MT_Seq2Neo
1057,0.5840747
1058,0.625215
1059,0.69657236
1060,0.71026206
1061,0.76784736
1062,0.7571411
1063,0.7267854
1064,0.75163114
1065,0.70270085
1066,0.7551364
1067,0.79354
1068,0.63250476
1069,0.72594464
1070,0.7631142
1071,0.67061746
1072,0.70796037
1073,0.77008796
1074,0.7527046
1075,0.7398833
1076,0.81380296
1077,0.6089047
1078,0.70442784
1079,0.77171415
1080,0.5097907
1081,0.59960514
1082,0.64629316
1083,0.5985185
1084,0.63013124
1085,0.6782888
1086,0.6530765
1087,0.65404177
1088,0.68926114
1089,0.73112714
1090,0.7466028
1091,0.76246333
1092,0.73779845
1093,0.77466846
1094,0.8023637
1095,0.39321527
1096,0.64294887
1097,0.684569
1098,0.48263034
1099,0.60777557
1100,0.6431502
1101,0.71217424
1102,0.71117693
1103,0.75388384
1104,0.6605906
1105,0.6301788
1106,0.63782203
1107,0.67245764
1108,0.67277336
1109,0.76004124
1110,0.624786
1111,0.6570164
1112,0.7082618
1113,0.78736484
1114,0.7759732
1115,0.80874413
1116,0.7598086
1117,0.8030038
1118,0.8272232
1119,0.6440717
1120,0.70868576
1121,0.7143377
1122,0.62800735
1123,0.66656643
1124,0.704702
1125,0.59601855
1126,0.6435688
1127,0.6630578
1128,0.7349994
1129,0.7665104
1130,0.80744886
1131,0.59204227
1132,0.5840747
1133,0.625215
1134,0.69657236
1135,0.71026206
1136,0.76784736
1137,0.7571411
1138,0.7267854
1139,0.75163114
1140,0.70270085
1141,0.7551364
1142,0.79354
1143,0.63250476
1144,0.72594464
1145,0.7631142
1146,0.67061746
1147,0.70796037
1148,0.77008796
1149,0.7527046
1150,0.7398833
1151,0.81380296
1152,0.6089047
1153,0.70442784
1154,0.77171415
1155,0.5097907
1156,0.59960514
1157,0.64629316
1158,0.5985185
1159,0.63013124
1160,0.6782888
1161,0.6530765
1162,0.65404177
1163,0.68926114
1164,0.73112714
1165,0.7466028
1166,0.76246333
1167,0.73779845
1168,0.77466846
1169,0.8023637
1170,0.39321527
1171,0.64294887
1172,0.684569
1173,0.48263034
1174,0.60777557
1175,0.6431502
1176,0.61738294
1177,0.7901014
1178,0.16076633
1179,0.847694
1180,0.87544596
1181,0.63929105
1182,0.894019
1183,0.2518445
1184,0.91942155
1185,0.9400171
1186,0.5882255
1187,0.8874857
1188,0.10867751
1189,0.92735124
1190,0.9466572
1191,0.55456096
1192,0.8531055
1193,0.08696091
1194,0.9208853
1195,0.9298148
1196,0.49384442
1197,0.7340726
1198,0.041833103
1199,0.8510972
1200,0.86909246
1201,0.71677357
1202,0.8407321
1203,0.065548
1204,0.904235
1205,0.92899287
1206,0.62216
1207,0.89477646
1208,0.124299616
1209,0.9247564
1210,0.94879496
1211,0.43905404
1212,0.7795708
1213,0.066234976
1214,0.8710122
1215,0.9017369
1216,0.2979887
1217,0.70518327
1218,0.060006976
1219,0.82773554
1220,0.8684064
1221,0.5390977
1222,0.8131944
1223,0.1758081
1224,0.888464
1225,0.9153582
1226,0.4851162
1227,0.7564647
1228,0.031040221
1229,0.84685856
1230,0.89552677
1231,0.5975297
1232,0.84642
1233,0.04420671
1234,0.9167657
1235,0.9388689
1236,0.5951633
1237,0.89164597
1238,0.075069845
1239,0.91920197
1240,0.9367025
1241,0.35989183
1242,0.77352405
1243,0.05012849
1244,0.7903929
1245,0.85754526
1246,0.38915583
1247,0.73435307
1248,0.053612024
1249,0.7742106
1250,0.82258964
1251,0.43101746
1252,0.8153584
1253,0.11157939
1254,0.86282456
1255,0.9097463
1256,0.55456096
1257,0.8531055
1258,0.08696091
1259,0.9208853
1260,0.9298148
1261,0.49384442
1262,0.7340726
1263,0.041833103
1264,0.8510972
1265,0.86909246
1266,0.71677357
1267,0.8407321
1268,0.065548
1269,0.904235
1270,0.92899287
1271,0.62216
1272,0.89477646
1273,0.124299616
1274,0.9247564
1275,0.94879496
1276,0.43905404
1277,0.7795708
1278,0.066234976
1279,0.8710122
1280,0.9017369
1281,0.2979887
1282,0.70518327
1283,0.060006976
1284,0.82773554
1285,0.8684064
1286,0.5390977
1287,0.8131944
1288,0.1758081
1289,0.888464
1290,0.9153582
1291,0.4851162
1292,0.7564647
1293,0.031040221
1294,0.84685856
1295,0.89552677
1296,0.5975297
1297,0.84642
1298,0.04420671
1299,0.9167657
1300,0.9388689
1301,0.5951633
1302,0.89164597
1303,0.075069845
1304,0.91920197
1305,0.9367025
1306,0.35989183
1307,0.77352405
1308,0.05012849
1309,0.7903929
1310,0.85754526
1311,0.38915583
1312,0.73435307
1313,0.053612024
1314,0.7742106
1315,0.82258964
1316,0.43101746
1317,0.8153584
1318,0.11157939
1319,0.86282456
1320,0.9097463
1321,0.6480821
1322,0.9323221
1323,0.4811755
1324,0.94390297
1325,0.96420276
1326,0.5358653
1327,0.81926894
1328,0.179322
1329,0.8526008
1330,0.8932357
1331,0.78681934
1332,0.91284883
1333,0.45537287
1334,0.9123664
1335,0.9438024
1336,0.6962092
1337,0.89635754
1338,0.7124968
1339,0.8966665
1340,0.93495727
1341,0.70521694
1342,0.88486147
1343,0.6064087
1344,0.8886987
1345,0.93602383
1346,0.70364666
1347,0.8625221
1348,0.1984275
1349,0.8852147
1350,0.9129135
1351,0.72584033
