bb_idx,MT_CNNeo,WT_CNNeo
943,0.92464185,
944,0.65078616,
945,0.35605276,
946,0.84643155,
947,0.9383223,
948,0.67078376,
949,0.29804456,
950,0.83940315,
951,0.92464185,
952,0.6537629,
953,0.6432474,
954,0.88195527,
955,0.92638063,
956,0.76342565,
957,0.2747861,
958,0.83639675,
959,0.94728315,
960,0.6451889,
961,0.46201548,
962,0.86376965,
963,0.9304268,
964,0.71171695,
965,0.29461777,
966,0.8142037,
967,0.94728315,
968,0.6134574,
969,0.4003236,
970,0.8480372,
971,0.9344428,
972,0.67816424,
973,0.2364668,
974,0.81317,
975,0.9403676,
976,0.6023066,
977,0.58185,
978,0.8712575,
979,0.92638063,
980,0.74124,
981,0.43466648,
982,0.8587373,
983,0.93540907,
984,0.7010121,
985,0.31676367,
986,0.8366902,
987,0.92464185,
988,0.65078616,
989,0.35306492,
990,0.8351854,
991,0.93317,
992,0.6550704,
993,0.2747861,
994,0.83639675,
995,0.94728315,
996,0.6451889,
997,0.2747861,
998,0.83639675,
999,0.94728315,
1000,0.6451889,
1001,0.34692413,
1002,0.8490272,
1003,0.92016643,
1004,0.6731423,
1005,0.31676367,
1006,0.8366902,
1007,0.92464185,
1008,0.65078616,
1009,0.31676367,
1010,0.8366902,
1011,0.92464185,
1012,0.65078616,
1013,0.5030734,
1014,0.8582852,
1015,0.92638063,
1016,0.7109359,
1017,0.31676367,
1018,0.8249063,
1019,0.83599406,
1020,0.31676367,
1021,0.8249063,
1022,0.83599406,
1023,0.24662186,
1024,0.8249063,
1025,0.83599406,
1026,0.40103614,
1027,0.8249063,
1028,0.83599406,
1029,0.51597214,
1030,0.8249063,
1031,0.83599406,
1032,0.47325563,
1033,0.8249063,
1034,0.83599406,
1035,0.38148093,
1036,0.8249063,
1037,0.83599406,
1038,0.35605276,
1039,0.8249063,
1040,0.83599406,
1041,0.22993028,
1042,0.8249063,
1043,0.83599406,
1044,0.27683577,
1045,0.8249063,
1046,0.83599406,
1047,0.2747861,
1048,0.8249063,
1049,0.83599406,
1050,0.17418738,
1051,0.8249063,
1052,0.83599406,
1053,0.2747861,
1054,0.8249063,
1055,0.83599406,
1056,0.2747861,
1057,0.8249063,
1058,0.83599406,
1059,0.1981016,
1060,0.8249063,
1061,0.85171115,
1062,0.46201548,
1063,0.8249063,
1064,0.83599406,
1065,0.62190586,
1066,0.8249063,
1067,0.83599406,
1068,0.38148093,
1069,0.8249063,
1070,0.83599406,
1071,0.58185,
1072,0.8249063,
1073,0.83599406,
1074,0.43466648,
1075,0.8249063,
1076,0.83599406,
1077,0.17250457,
1078,0.8249063,
1079,0.83599406,
1080,0.2877017,
1081,0.82865196,
1082,0.83599406,
1083,0.43958533,
1084,0.8249063,
1085,0.83599406,
1086,0.4003236,
1087,0.82865196,
1088,0.83599406,
1089,0.33771205,
1090,0.8249063,
1091,0.83599406,
1092,0.35306492,
1093,0.8249063,
1094,0.83599406,
1095,0.5236812,
1096,0.8249063,
1097,0.83599406,
1098,0.43466648,
1099,0.8249063,
1100,0.83599406,
1101,0.42667055,
1102,0.8249063,
1103,0.83599406,
1104,0.28586352,
1105,0.8249063,
1106,0.83599406,
1107,0.20494348,
1108,0.8249063,
1109,0.85171115,
1110,0.16468509,
1111,0.82865196,
1112,0.83599406,
1113,0.2877017,
1114,0.82865196,
1115,0.83599406,
1116,0.4327043,
1117,0.8249063,
1118,0.83599406,
1119,0.42984602,
1120,0.8249063,
1121,0.83599406,
1122,0.30771887,
1123,0.82865196,
1124,0.83599406,
1125,0.31676367,
1126,0.8249063,
1127,0.83599406,
1128,0.2747861,
1129,0.8249063,
1130,0.83599406,
1131,0.2747861,
1132,0.8249063,
1133,0.83599406,
1134,0.1981016,
1135,0.8249063,
1136,0.85171115,
1137,0.46201548,
1138,0.8249063,
1139,0.83599406,
1140,0.62190586,
1141,0.8249063,
1142,0.83599406,
1143,0.38148093,
1144,0.8249063,
1145,0.83599406,
1146,0.58185,
1147,0.8249063,
1148,0.83599406,
1149,0.43466648,
1150,0.8249063,
1151,0.83599406,
1152,0.17250457,
1153,0.8249063,
1154,0.83599406,
1155,0.2877017,
1156,0.82865196,
1157,0.83599406,
1158,0.43958533,
1159,0.8249063,
1160,0.83599406,
1161,0.4003236,
1162,0.82865196,
1163,0.83599406,
1164,0.33771205,
1165,0.8249063,
1166,0.83599406,
1167,0.35306492,
1168,0.8249063,
1169,0.83599406,
1170,0.5236812,
1171,0.8249063,
1172,0.83599406,
1173,0.43466648,
1174,0.8249063,
1175,0.83599406,
1176,0.15777409,
1177,0.57732826,
1178,0.92464185,
1179,0.5145036,
1180,0.8096144,
1181,0.2877017,
1182,0.7333334,
1183,0.9344428,
1184,0.6540227,
1185,0.9065238,
1186,0.4327043,
1187,0.7650539,
1188,0.92638063,
1189,0.6896412,
1190,0.91521406,
1191,0.35306492,
1192,0.7290266,
1193,0.93317,
1194,0.6550704,
1195,0.89838326,
1196,0.2747861,
1197,0.7241483,
1198,0.94728315,
1199,0.6451889,
1200,0.90135294,
1201,0.42667055,
1202,0.77850074,
1203,0.9077356,
1204,0.70163786,
1205,0.9252421,
1206,0.27022436,
1207,0.71607435,
1208,0.94544655,
1209,0.637673,
1210,0.89687353,
1211,0.2877017,
1212,0.7333334,
1213,0.9344428,
1214,0.6540227,
1215,0.9065238,
1216,0.42667055,
1217,0.77850074,
1218,0.9294529,
1219,0.70163786,
1220,0.9252421,
1221,0.42667055,
1222,0.77850074,
1223,0.9294529,
1224,0.70163786,
1225,0.9252421,
1226,0.42667055,
1227,0.77850074,
1228,0.9077356,
1229,0.70163786,
1230,0.9252421,
1231,0.27022436,
1232,0.71607435,
1233,0.94544655,
1234,0.637673,
1235,0.89687353,
1236,0.2877017,
1237,0.7333334,
1238,0.9344428,
1239,0.6540227,
1240,0.9065238,
1241,0.4798369,
1242,0.7798715,
1243,0.95643276,
1244,0.7067832,
1245,0.9217009,
1246,0.5600773,
1247,0.80305904,
1248,0.9303857,
1249,0.73412025,
1250,0.92954034,
1251,0.33556575,
1252,0.71947426,
1253,0.93317,
1254,0.64629936,
1255,0.8938977,
1256,0.35306492,
1257,0.7290266,
1258,0.93317,
1259,0.6550704,
1260,0.89838326,
1261,0.2747861,
1262,0.7241483,
1263,0.94728315,
1264,0.6451889,
1265,0.90135294,
1266,0.42667055,
1267,0.77850074,
1268,0.9077356,
1269,0.70163786,
1270,0.9252421,
1271,0.27022436,
1272,0.71607435,
1273,0.94544655,
1274,0.637673,
1275,0.89687353,
1276,0.2877017,
1277,0.7333334,
1278,0.9344428,
1279,0.6540227,
1280,0.9065238,
1281,0.42667055,
1282,0.77850074,
1283,0.9294529,
1284,0.70163786,
1285,0.9252421,
1286,0.42667055,
1287,0.77850074,
1288,0.9294529,
1289,0.70163786,
1290,0.9252421,
1291,0.42667055,
1292,0.77850074,
1293,0.9077356,
1294,0.70163786,
1295,0.9252421,
1296,0.27022436,
1297,0.71607435,
1298,0.94544655,
1299,0.637673,
1300,0.89687353,
1301,0.2877017,
1302,0.7333334,
1303,0.9344428,
1304,0.6540227,
1305,0.9065238,
1306,0.4798369,
1307,0.7798715,
1308,0.95643276,
1309,0.7067832,
1310,0.9217009,
1311,0.5600773,
1312,0.80305904,
1313,0.9303857,
1314,0.73412025,
1315,0.92954034,
1316,0.33556575,
1317,0.71947426,
1318,0.93317,
1319,0.64629936,
1320,0.8938977,
1321,0.44043502,
1322,0.76694566,
1323,0.9423441,
1324,0.69368166,
1325,0.91636693,
1326,0.2819989,
1327,0.6993755,
1328,0.93317,
1329,0.62271017,
1330,0.8836264,
1331,0.24044779,
1332,0.6857053,
1333,0.9294529,
1334,0.6082778,
1335,0.87823546,
1336,0.46201548,
1337,0.787862,
1338,0.92638063,
1339,0.71171695,
1340,0.92877996,
1341,0.34692413,
1342,0.75255466,
1343,0.92016643,
1344,0.6731423,
1345,0.91409117,
1346,0.31676367,
1347,0.7297928,
1348,0.92464185,
1349,0.65078616,
1350,0.9010699,
1351,0.29208583,
1352,0.7315713,
1353,0.94062686,
1354,0.65249544,
1355,0.90512043,
1356,0.17250457,
1357,0.64107007,
1358,0.94728315,
1359,0.5684269,
1360,0.8558695,
1361,0.2877017,
1362,0.7333334,
1363,0.9344428,
1364,0.6540227,
1365,0.9065238,
1366,0.35605276,
1367,0.7486679,
1368,0.9383223,
1369,0.67078376,
1370,0.9110314,
1371,0.43466648,
1372,0.7773232,
1373,0.93540907,
1374,0.7010121,
1375,0.92396766,
