bb_idx,MT_IEDB_Calis,WT_IEDB_Calis
1351,-0.20564,
1352,-0.09284,
1353,-0.20204,
1354,-0.20564,
1355,-0.20564,
1356,-0.22068,
1357,-0.04968,
1358,-0.22788,
1359,-0.22068,
1360,-0.22068,
1361,-0.12889,
1362,-0.16909,
1363,-0.09129,
1364,-0.12889,
1365,-0.12889,
1366,0.0633,
1367,0.0318,
1368,0.1203,
1369,0.0633,
1370,0.0633,
1371,0.16553,
1372,0.17633,
1373,0.15213,
1374,0.16553,
1375,0.16553,
1376,0.19111,
1377,0.15091,
1378,0.18061,
1379,0.19111,
1380,0.19111,
1381,0.20749,
1382,0.16939,
1383,0.21109,
1384,0.20749,
1385,0.20749,
1386,0.31905,
1387,0.22155,
1388,0.30565,
1389,0.31905,
1390,0.31905,
1391,0.00869,
1392,-0.02911,
1393,0.01229,
1394,0.00869,
1395,0.00869,
1396,-0.00852,
1397,-0.05892,
1398,-0.02122,
1399,-0.00852,
1400,-0.00852,
1401,-0.17048,
1402,0.03952,
1403,-0.18308,
1404,-0.17048,
1405,-0.17048,
1406,-0.40464,
1407,-0.51864,
1408,-0.42144,
1409,-0.40464,
1410,-0.40464,
1411,-0.474,
1412,-0.4632,
1413,-0.404,
1414,-0.474,
1415,-0.474,
1416,-0.49976,
1417,-0.28976,
1418,-0.53776,
1419,-0.49976,
1420,-0.49976,
1421,-0.54128,
1422,-0.33128,
1423,-0.53768,
1424,-0.54128,
1425,-0.54128,
1426,-0.36592,
1427,-0.15592,
1428,-0.29592,
1429,-0.36592,
1430,-0.36592,
1431,-0.11564,
1432,-0.22964,
1433,-0.04564,
1434,-0.11564,
1435,-0.11564,
1436,0.14324,
1437,0.15404,
1438,0.21324,
1439,0.14324,
1440,0.14324,
1441,0.22662,
1442,0.17622,
1443,0.18862,
1444,0.22662,
1445,0.22662,
1446,0.26022,
1447,0.22002,
1448,0.26382,
1449,0.26022,
1450,0.26022,
1451,0.27686,
1452,0.23906,
1453,0.26006,
1454,0.27686,
1455,0.27686,
1456,0.12536,
1457,-0.00424,
1458,0.11196,
1459,0.12536,
1460,0.12536,
1461,0.10726,
1462,0.06946,
1463,0.09466,
1464,0.10726,
1465,0.10726,
1466,-0.05182,
1467,-0.08962,
1468,-0.09502,
1469,-0.05182,
1470,-0.05182,
1471,0.16745,
1472,0.17825,
1473,0.15475,
1474,0.16745,
1475,0.16745,
1476,0.14966,
1477,0.05216,
1478,0.13866,
1479,0.14966,
1480,0.14966,
