bb_idx,MT_TSCAPE
1467,0.173533
1468,0.046511
1469,0.042134
1470,0.275689
1471,0.344560
1472,0.062223
1473,0.015915
1474,0.118534
1475,0.121436
1476,0.041515
1477,0.044605
1478,0.173520
1479,0.235654
1480,0.043570
1481,0.078654
1482,0.396205
1483,0.457961
1484,0.099624
1485,0.067346
1486,0.299235
1487,0.361460
1488,0.077694
1489,0.032086
1490,0.260763
1491,0.207587
1492,0.046931
1493,0.018706
1494,0.111137
1495,0.113392
1496,0.047436
1497,0.045794
1498,0.178318
1499,0.221727
1500,0.046939
1501,0.084774
1502,0.378560
1503,0.452030
1504,0.099341
1505,0.065844
1506,0.327887
1507,0.333055
1508,0.094972
1509,0.019827
1510,0.109580
1511,0.131792
1512,0.055959
1513,0.043898
1514,0.172341
1515,0.228698
1516,0.043804
1517,0.085540
1518,0.359912
1519,0.428819
1520,0.090958
1521,0.020294
1522,0.118181
1523,0.131731
1524,0.049881
1525,0.042125
1526,0.183595
1527,0.245744
1528,0.049684
1529,0.058158
1530,0.321826
1531,0.419170
1532,0.077649
1533,0.030333
1534,0.301135
1535,0.231003
1536,0.048193
1537,0.052491
1538,0.266600
1539,0.315409
1540,0.055437
1541,0.070236
1542,0.500214
1543,0.425961
1544,0.085564
1545,0.046149
1546,0.307246
1547,0.332700
1548,0.051217
1549,0.051582
1550,0.428407
1551,0.483126
1552,0.067228
1553,0.063273
1554,0.357468
1555,0.406282
1556,0.074136
1557,0.034631
1558,0.237338
1559,0.305350
1560,0.038240
1561,0.093386
1562,0.317489
1563,0.462150
1564,0.099600
1565,0.061827
1566,0.337955
1567,0.451987
1568,0.087467
1569,0.099298
1570,0.422429
1571,0.570945
1572,0.103589
1573,0.063980
1574,0.470703
1575,0.416532
1576,0.090628
1577,0.033069
1578,0.278895
1579,0.259443
1580,0.038404
1581,0.075169
1582,0.336597
1583,0.451135
1584,0.081797
1585,0.040864
1586,0.340397
1587,0.317542
1588,0.063779
1589,0.073624
1590,0.357945
1591,0.397890
1592,0.086639
1593,0.069574
1594,0.502801
1595,0.412684
1596,0.086756
1597,0.055843
1598,0.348419
1599,0.376653
1600,0.056198
1601,0.050530
1602,0.437190
1603,0.475211
1604,0.077504
1605,0.080999
1606,0.318452
1607,0.437887
1608,0.101275
1609,0.026899
1610,0.225002
1611,0.248499
1612,0.035145
1613,0.088146
1614,0.313017
1615,0.425597
1616,0.085739
1617,0.061045
1618,0.320679
1619,0.438152
1620,0.085560
1621,0.127686
1622,0.450017
1623,0.638533
1624,0.125046
1625,0.079249
1626,0.507053
1627,0.480553
1628,0.099631
1629,0.039430
1630,0.249509
1631,0.293254
