sample_id,domain,conv_step,converged,final_norm,max_steps,cos_thr,trained_S,extrapolated
nih_14099,NIH,,False,102.13275146484375,16,0.01,16,False
nih_19652,NIH,,False,103.34607696533203,16,0.01,16,False
nih_23030,NIH,,False,100.82234954833984,16,0.01,16,False
nih_22126,NIH,,False,93.05985260009766,16,0.01,16,False
nih_7298,NIH,,False,106.0465087890625,16,0.01,16,False
nih_3882,NIH,,False,106.97398376464844,16,0.01,16,False
nih_7492,NIH,,False,97.69345092773438,16,0.01,16,False
nih_8331,NIH,,False,98.60201263427734,16,0.01,16,False
nih_20253,NIH,,False,93.59181213378906,16,0.01,16,False
nih_16350,NIH,,False,103.02518463134766,16,0.01,16,False
nih_24311,NIH,,False,100.85037994384766,16,0.01,16,False
nih_22790,NIH,,False,97.23445129394531,16,0.01,16,False
nih_19516,NIH,,False,84.05923461914062,16,0.01,16,False
nih_17620,NIH,,False,101.10252380371094,16,0.01,16,False
nih_13143,NIH,,False,99.90022277832031,16,0.01,16,False
nih_20577,NIH,,False,97.93202209472656,16,0.01,16,False
nih_1514,NIH,,False,106.39342498779297,16,0.01,16,False
nih_1078,NIH,,False,93.52510833740234,16,0.01,16,False
nih_7572,NIH,,False,104.26237487792969,16,0.01,16,False
vindr_9df6fc705f64aff96686f44fdbf9d73f.png,VinDr,,False,103.4396743774414,16,0.01,16,False
vindr_d2ee971a8b41f013def83648617b43cc.png,VinDr,,False,101.84224700927734,16,0.01,16,False
vindr_639a44bdf6f3cfe5d05f96683604e758.png,VinDr,,False,94.17278289794922,16,0.01,16,False
vindr_2191f74886101a1a4ea55622a43a059e.png,VinDr,,False,101.05693054199219,16,0.01,16,False
vindr_f69544d8d9ec0d571302f4f534eb3a10.png,VinDr,,False,104.08663177490234,16,0.01,16,False
vindr_0de9e6e651d4410d8730b5ab75c63289.png,VinDr,,False,102.16368103027344,16,0.01,16,False
vindr_0d3b1464574b7db3d664dc0aa0b66549.png,VinDr,,False,98.40455627441406,16,0.01,16,False
vindr_628ab07625d7ac80f9c909b4380e75b3.png,VinDr,,False,100.0115737915039,16,0.01,16,False
vindr_c50bb66530634bfac9d5487a607e8211.png,VinDr,,False,100.53379821777344,16,0.01,16,False
vindr_16041095041e6b5afb13e8da17bf45b4.png,VinDr,,False,98.83810424804688,16,0.01,16,False
vindr_61f8bb57e67b95c4555d4427998c0498.png,VinDr,,False,94.9850082397461,16,0.01,16,False
